Date,Average_PM2.5,season
2020_03_11,45.38235294117647,summer
2020_03_12,44.794117647058826,summer
2020_03_13,48.86764705882353,summer
2020_03_14,52.30882352941177,summer
2020_03_15,49.0659229208925,summer
2020_03_16,40.9001014198783,summer
2020_03_17,33.35294117647059,summer
2020_03_18,34.89705882352941,summer
2020_03_19,39.654411764705884,summer
2020_03_20,40.044117647058826,summer
2020_03_21,33.205882352941174,summer
2020_03_22,32.51470588235294,summer
2020_03_23,34.89705882352941,summer
2020_03_24,33.64705882352941,summer
2020_03_25,35.240196078431374,summer
2020_03_26,33.15196078431372,summer
2020_03_27,34.720588235294116,summer
2020_03_28,47.0,summer
2020_03_29,47.3235294117647,summer
2020_03_30,48.44117647058823,summer
2020_03_31,49.615196078431374,summer
2020_04_01,47.1875,summer
2020_04_02,40.48039215686275,summer
2020_04_03,37.0,summer
2020_04_04,40.9264705882353,summer
2020_04_05,39.05882352941177,summer
2020_04_06,35.529411764705884,summer
2020_04_07,32.088235294117645,summer
2020_04_08,31.404411764705884,summer
2020_04_09,31.955882352941178,summer
2020_04_10,29.24264705882353,summer
2020_04_11,32.47794117647059,summer
2020_04_12,32.470588235294116,summer
2020_04_13,27.610294117647058,summer
2020_04_14,30.375,summer
2020_04_15,34.1985294117647,summer
2020_04_16,27.176470588235293,summer
2020_04_17,25.720588235294116,summer
2020_04_18,21.647058823529413,summer
2020_04_19,25.91176470588235,summer
2020_04_20,26.830882352941178,summer
2020_04_21,26.566176470588236,summer
2020_04_22,27.78676470588235,summer
2020_04_23,25.073529411764707,summer
2020_04_24,21.955882352941178,summer
2020_04_25,20.254901960784313,summer
2020_04_26,22.683823529411764,summer
2020_04_27,23.176470588235293,summer
2020_04_28,21.264705882352942,summer
2020_04_29,26.71323529411765,summer
2020_04_30,22.91176470588235,summer
2020_05_01,20.698529411764707,rainy
2020_05_02,17.058823529411764,rainy
2020_05_03,17.625,rainy
2020_05_04,18.948529411764707,rainy
2020_05_05,22.235294117647058,rainy
2020_05_06,20.91176470588235,rainy
2020_05_07,19.629901960784316,rainy
2020_05_08,17.022058823529413,rainy
2020_05_09,15.137254901960787,rainy
2020_05_10,13.838235294117647,rainy
2020_05_11,13.818181818181818,rainy
2020_05_12,18.08823529411765,rainy
2020_05_13,17.941176470588236,rainy
2020_05_14,17.345588235294116,rainy
2020_05_15,17.404411764705884,rainy
2020_05_16,17.279411764705884,rainy
2020_05_17,17.419117647058822,rainy
2020_05_18,15.705882352941176,rainy
2020_05_19,12.683823529411764,rainy
2020_05_20,13.522058823529411,rainy
2020_05_21,15.985294117647058,rainy
2020_05_22,22.330882352941178,rainy
2020_05_23,25.49264705882353,rainy
2020_05_24,23.794117647058822,rainy
2020_05_25,21.85539215686274,rainy
2020_05_26,19.897058823529413,rainy
2020_05_27,14.338235294117647,rainy
2020_05_28,11.382352941176471,rainy
2020_05_29,11.715686274509803,rainy
2020_05_30,9.705882352941176,rainy
2020_05_31,11.110294117647058,rainy
2020_06_01,11.941176470588236,rainy
2020_06_02,11.117647058823529,rainy
2020_06_03,11.485294117647058,rainy
2020_06_04,11.411764705882353,rainy
2020_06_05,10.764705882352942,rainy
2020_06_06,10.213235294117647,rainy
2020_06_07,8.901960784313726,rainy
2020_06_08,8.985294117647058,rainy
2020_06_09,9.764705882352942,rainy
2020_06_10,10.529411764705882,rainy
2020_06_11,11.878676470588236,rainy
2020_06_12,10.764705882352942,rainy
2020_06_13,10.544117647058824,rainy
2020_06_14,10.970588235294118,rainy
2020_06_15,9.465686274509805,rainy
2020_06_16,9.583333333333334,rainy
2020_06_17,9.622549019607842,rainy
2020_06_18,10.568627450980394,rainy
2020_06_19,11.00686274509804,rainy
2020_06_20,11.823529411764707,rainy
2020_06_21,11.488970588235293,rainy
2020_06_22,12.735294117647058,rainy
2020_06_23,11.764705882352942,rainy
2020_06_24,12.352941176470589,rainy
