Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,27T,24T,26T,79T,46T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,80T
2017_04_27,31.333333333333332,31.0,29.0,31.333333333333332,34.0,31.333333333333332,31.333333333333332,29.0,29.0,29.0,43.0,30.0,31.611111111111114,50.0,29.0,26.0,27.0,78.0,64.0,58.0,45.0,35.0,17.0,17.0,17.0,
2017_04_28,30.666666666666668,31.0,28.0,30.666666666666668,33.0,30.666666666666668,30.666666666666668,25.0,25.0,26.0,44.0,30.424242424242422,30.424242424242422,28.0,25.0,21.0,22.0,72.0,53.0,46.0,38.0,36.0,18.0,18.0,18.0,
2017_04_29,26.0,37.0,28.0,32.25,38.0,32.25,32.25,27.0,27.0,38.0,39.0,32.43181818181818,32.43181818181818,29.0,23.0,23.0,17.0,26.0,13.0,13.0,17.0,13.0,17.0,17.0,17.0,
2017_04_30,25.0,29.0,30.0,29.5,34.0,29.5,29.5,27.0,27.0,22.0,28.25,28.25,28.25,34.0,27.0,18.0,22.0,29.0,17.0,20.0,16.0,16.0,15.0,15.0,15.0,
2017_05_01,9.0,15.0,13.0,13.5,17.0,13.5,13.5,12.0,12.0,15.0,31.0,14.954545454545455,14.954545454545455,32.0,12.0,9.0,18.0,45.0,32.0,30.0,26.0,16.0,18.0,18.0,18.0,
2017_05_02,12.0,16.0,16.0,15.5,18.0,15.5,15.5,14.0,14.0,14.0,42.0,17.5,17.5,36.0,13.0,13.0,21.0,41.0,33.0,34.0,36.0,24.0,18.0,18.0,18.0,
2017_05_03,15.0,24.0,17.0,18.75,19.0,18.75,18.75,14.0,14.0,19.0,48.0,20.568181818181817,20.568181818181817,33.0,15.0,13.0,20.0,43.0,31.0,39.0,45.0,29.0,19.0,19.0,19.0,
2017_05_04,17.0,25.0,20.0,20.75,21.0,20.75,20.75,15.0,15.0,17.0,37.0,20.84090909090909,20.84090909090909,34.0,15.0,15.0,20.0,50.0,33.0,31.0,46.0,32.0,20.0,20.0,20.0,
2017_05_05,19.0,21.0,21.0,21.25,24.0,21.25,21.25,18.0,18.0,21.975,35.0,21.974999999999998,21.974999999999998,15.0,27.0,9.0,13.0,31.0,25.0,17.0,33.0,24.0,12.0,12.0,12.0,
2017_05_06,30.0,38.0,32.0,35.5,42.0,35.5,35.5,27.0,27.0,35.55,53.0,35.550000000000004,35.550000000000004,20.0,35.0,19.0,23.0,16.0,18.0,15.0,25.0,14.0,13.0,13.0,13.0,
