Date,Rain_73T,PM_73T
2018-05-31,0.0,8.777777777777777
2018-06-01,0.6,10.222222222222223
2018-06-02,1.0,10.0
2018-06-03,0.0,13.222222222222223
2018-06-04,0.2,12.444444444444445
2018-06-05,0.2,12.0
2018-06-06,13.5,9.666666666666668
2018-06-07,0.2,8.11111111111111
2018-06-08,6.1,7.444444444444445
2018-06-09,9.0,7.666666666666666
2018-06-10,0.3,7.222222222222223
2018-06-11,8.1,6.333333333333334
2018-06-12,2.0,7.857142857142857
2018-06-13,1.0,9.0
2018-06-14,0.0,11.666666666666668
2018-06-15,27.0,13.142857142857142
2018-06-16,8.5,14.0
2018-06-17,3.5,19.555555555555557
2018-06-18,5.0,23.0
2018-06-19,2.5,18.0
2018-06-20,4.5,14.11111111111111
2018-06-21,26.5,10.666666666666668
2018-06-22,1.5,11.555555555555555
