Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,41T,46T,47T,72T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,44T,62T,63T,78T,43T,80T
2019_01_11,75.4,62.0,69.0,64.0,75.39999999999999,59.0,87.0,81.0,83.0,81,81,87.0,76.0,60.0,54.0,48.0,62,74.0,74.0,78.0,63.0,57.0,69.81428571428572,72.0,82.0,56.0,66.0,71.0,57.0,45.0,34.0,23.0,38.333333333333336,55.0,16.0,44.0,38.333333333333336,47.0,42.0,40,42.46666666666667,57.0,47.0,23,19.0,35.0,31.0,32.0,41.0,18.0,18.0,8.0,29,20.0,30.0,33.0,28.0,35.0,13.0,8.0,15.0,17.0,17.0,11.0,11
2019_01_12,59.9,52.0,52.0,52.0,59.9,53.0,60.0,72.0,62.0,63,65,68.0,70.0,56.75,51.0,50.0,56,64.0,64.0,73.0,61.0,65.0,61.769642857142856,70.0,77.0,58.0,75.0,70.0,50.0,37.0,32.0,27.0,35.833333333333336,49.0,15.5,43.0,35.833333333333336,47.0,41.0,39,41.41666666666667,58.0,50.0,24,20.0,39.0,37.0,32.0,40.0,18.0,13.0,6.0,27,20.0,34.0,35.0,27.0,41.0,14.0,12.0,12.0,18.0,18.0,8.0,8
2019_01_13,67.7,63.0,60.0,62.0,67.7,55.0,65.0,88.0,70.0,74,66,74.0,87.0,66.25,62.0,61.0,55,68.0,68.0,71.0,85.0,63.0,66.2462962962963,66.24629629629631,56.0,51.0,76.0,60.0,47.0,38.0,32.0,26.0,48.333333333333336,52.0,42.0,51.0,48.333333333333336,63.0,49.0,45,50.66666666666667,57.0,51.0,25,23.0,30.0,23.0,23.0,32.0,21.0,12.0,6.0,28,19.0,34.0,32.0,22.0,42.0,9.0,16.5,12.0,15.0,15.0,7.0,7
2019_01_14,66.8,58.0,56.0,59.0,66.8,57.0,71.0,86.0,64.0,73,65,79.0,81.0,63.75,58.0,54.0,62,68.0,68.0,86.0,81.0,55.0,65.23518518518519,65.23518518518519,68.0,51.0,65.0,53.0,46.0,30.0,28.5,27.0,54.333333333333336,60.0,53.0,50.0,54.333333333333336,57.0,55.0,58,55.16666666666667,64.0,46.0,24,19.0,28.0,23.0,20.0,29.0,20.0,14.0,6.0,24,17.0,39.0,30.0,22.0,43.0,17.0,17.5,18.0,20.0,20.0,11.0,11
2019_01_15,54.6,48.0,47.0,53.0,54.6,46.0,60.0,68.0,48.0,50,58,68.0,60.0,47.0,45.0,34.0,49,55.0,55.0,58.0,34.0,58.0,54.50714285714286,58.0,73.0,73.0,61.0,65.0,46.0,30.0,28.5,27.0,38.0,44.0,29.0,41.0,38.0,39.0,41.0,43,43.1,74.0,44.0,26,21.0,30.0,27.0,23.0,36.0,27.0,18.0,6.0,24,16.0,31.0,30.0,25.0,40.0,22.0,14.5,19.0,22.0,22.0,16.0,16
2019_01_16,43.8,38.0,40.0,39.0,43.800000000000004,38.0,48.0,54.0,39.0,44,48,50.0,52.0,43.75,41.0,39.0,43,54.0,54.0,54.0,54.0,48.0,47.583928571428565,59.0,54.0,54.0,60.0,53.0,44.0,29.0,24.5,20.0,43.333333333333336,50.0,39.0,41.0,43.333333333333336,31.0,39.0,40,41.96666666666667,53.0,40.0,20,13.0,43.0,30.0,32.0,42.0,21.0,17.0,7.0,20,14.0,27.0,35.0,29.0,44.0,19.125,12.5,18.0,23.0,23.0,14.0,14
2019_01_17,47.5,45.0,45.0,42.0,47.5,38.0,51.0,53.0,51.0,49,49,52.0,58.0,48.5,47.0,44.0,45,44.0,44.0,56.0,77.0,49.72222222222222,49.72222222222222,44.0,52.0,52.0,59.0,58.0,44.0,23.0,20.5,18.0,47.333333333333336,53.0,48.0,41.0,47.333333333333336,47.0,48.0,50,44.86666666666667,33.0,34.0,25,22.0,32.0,22.0,19.0,28.0,19.0,16.0,7.0,17,12.0,34.0,33.0,25.0,41.0,18.0,10.0,14.0,17.0,17.0,8.0,8
2019_01_18,33.8,26.0,31.0,32.0,33.800000000000004,32.0,35.0,35.0,38.0,34,35,40.0,38.0,31.25,27.0,27.0,33,34.0,34.0,46.0,60.0,36.0,35.42321428571429,22.0,35.0,35.0,59.0,41.0,28.0,28.0,24.5,21.0,29.333333333333332,33.0,30.0,25.0,29.333333333333332,25.0,23.0,26,25.866666666666664,15.0,23.0,30,29.0,30.0,19.0,17.0,23.0,21.0,16.0,8.0,18,13.0,41.0,27.0,22.0,43.0,13.0,13.0,17.0,18.0,18.0,10.0,10
2019_01_19,49.5,39.0,46.0,45.0,49.5,44.0,52.0,51.0,57.0,53,53,55.0,56.0,48.25,46.0,42.0,49,49.0,49.0,48.0,69.0,40.0,48.973214285714285,34.0,46.0,46.0,67.0,47.0,41.0,34.0,26.5,19.0,38.0,38.0,36.0,40.0,38.0,31.5,36.0,43,37.75,37.0,40.0,36,31.0,32.0,33.0,27.0,36.0,27.0,24.0,8.0,18,14.0,39.0,32.0,28.0,42.0,13.0,13.0,15.0,18.0,18.0,9.0,9
2019_01_20,58.0,50.0,49.0,52.0,58.0,44.0,60.0,80.0,62.0,64,62,57.0,67.0,61.0,57.0,54.0,66,62.0,62.0,68.0,89.0,51.0,60.714285714285715,52.0,68.0,68.0,72.0,56.0,51.0,45.0,33.0,21.0,53.0,59.0,46.0,54.0,53.0,44.0,52.0,49,51.9,61.0,48.0,31,25.0,36.0,36.0,26.0,37.0,29.0,25.0,6.0,24,16.0,39.0,37.0,32.0,41.0,21.0,12.0,19.0,19.0,19.0,10.0,10
2019_01_21,69.9,57.0,66.0,60.0,69.89999999999999,55.0,71.0,86.0,72.0,83,74,75.0,82.0,66.0,65.0,56.0,61,73.0,73.0,78.0,86.0,61.0,68.52857142857142,61.0,62.0,62.0,75.0,68.0,51.0,29.0,26.0,23.0,64.66666666666667,72.0,55.0,67.0,64.66666666666667,61.0,58.0,59,59.03333333333334,44.0,45.0,26,21.0,28.0,34.0,20.0,37.0,24.0,26.0,7.0,25,18.0,39.0,43.0,24.0,45.0,20.0,11.5,21.0,22.0,22.0,12.0,12
2019_01_22,47.7,40.0,40.0,43.0,47.7,39.0,52.0,59.0,52.0,50,50,52.0,57.0,47.75,46.0,42.0,46,47.0,47.0,73.0,67.0,53.0,50.89821428571429,52.0,47.0,47.0,65.0,70.0,46.0,27.0,22.5,18.0,50.333333333333336,54.0,46.0,51.0,50.333333333333336,60.0,48.0,51,47.16666666666667,28.0,33.0,30,26.0,35.0,37.0,28.0,43.0,29.0,28.0,7.0,21,18.0,44.0,41.0,25.0,44.0,25.0,11.0,23.0,24.0,24.0,15.0,15
2019_01_23,45.5,41.0,41.0,39.0,45.5,36.0,50.0,60.0,47.0,45,49,47.0,58.0,49.5,45.0,45.0,50,43.0,43.0,55.0,76.0,48.0,48.22222222222222,48.22222222222222,45.5,38.0,67.0,52.0,41.0,36.0,29.5,23.0,38.333333333333336,43.0,37.0,35.0,38.333333333333336,46.0,30.0,35,37.16666666666667,30.0,39.0,37,31.0,40.0,34.0,30.0,41.0,34.0,28.0,34.285714285714285,24,16.0,48.0,38.0,32.0,47.0,27.0,10.0,21.0,23.0,23.0,15.0,15
2019_01_24,45.4,48.0,45.0,39.0,45.4,36.0,51.0,55.0,46.0,43,45,46.0,56.0,49.5,45.0,48.0,49,38.0,38.0,56.0,76.0,51.0,51.6037037037037,51.60370370370371,74.0,59.0,80.0,73.0,56.0,48.0,42.0,36.0,38.666666666666664,40.0,39.0,37.0,38.666666666666664,51.0,43.0,45,42.53333333333333,42.0,51.0,31,23.0,39.0,37.0,32.0,45.0,23.0,11.0,32.42857142857143,28,20.0,43.0,47.0,29.0,46.0,24.0,12.5,24.0,27.0,27.0,20.0,20
2019_01_25,66.9,60.0,63.0,59.0,66.89999999999999,50.0,74.0,86.0,74.0,71,66,66.0,81.0,76.25,70.0,65.0,89,56.0,56.0,87.0,106.0,57.0,71.03888888888889,71.03888888888889,83.0,58.0,87.0,84.0,60.0,54.0,47.0,40.0,47.0,51.0,47.0,43.0,47.0,60.0,43.0,51,50.7,64.0,54.0,32,25.0,43.0,37.0,29.0,46.0,18.0,17.0,14.0,30,14.0,47.0,54.0,27.0,59.0,33.0,12.5,26.0,32.0,32.0,22.0,22
2019_01_26,57.1,51.0,50.0,52.0,57.1,46.0,64.0,72.0,60.0,58,61,57.0,70.0,59.25,51.0,54.0,62,52.0,52.0,70.0,103.0,63.0,61.12321428571429,56.0,66.0,53.0,89.0,76.0,50.0,37.0,34.0,31.0,56.666666666666664,65.0,57.0,48.0,56.666666666666664,62.0,54.0,56,56.83333333333333,51.0,62.0,30,27.0,40.0,34.0,22.0,40.0,26.0,23.0,33.0,27,17.0,42.0,47.0,24.0,70.0,36.0,10.0,25.0,34.0,34.0,21.0,21
2019_01_27,45.0,40.0,42.0,43.0,45.0,42.0,50.0,43.0,47.0,46,50,47.0,53.0,45.0,39.0,41.0,47,43.0,43.0,48.0,67.0,49.0,47.892857142857146,52.0,47.0,41.0,77.0,64.0,45.0,45.0,38.0,31.0,38.333333333333336,43.0,34.0,38.0,38.333333333333336,53.0,41.0,39,41.266666666666666,33.0,55.0,43,44.0,54.0,43.0,28.0,40.0,27.0,27.0,37.0,30,22.0,52.0,44.0,31.0,53.0,22.0,8.0,19.0,26.0,26.0,15.0,15
2019_01_28,57.6,55.0,54.0,51.0,57.6,49.0,65.0,63.0,60.0,57,63,59.0,66.0,59.75,54.0,57.0,62,51.0,51.0,62.0,103.0,55.0,60.426785714285714,56.0,61.0,50.0,82.0,73.0,58.0,46.0,40.5,35.0,45.666666666666664,49.0,46.0,42.0,45.666666666666664,59.0,46.0,54,49.733333333333334,44.0,66.0,44,44.0,45.0,45.0,30.0,46.0,36.0,31.0,60.0,34,20.0,53.0,45.0,32.0,73.0,34.0,11.0,25.0,25.0,25.0,16.0,16
2019_01_29,64.85,65.0,67.0,61.0,64.85000000000001,56.0,33.5,87.0,71.0,71,72,65.0,76.0,73.25,71.0,71.0,75,61.0,61.0,74.0,134.0,63.0,69.12321428571428,53.0,66.0,51.0,83.0,82.0,63.0,39.0,33.0,27.0,50.0,57.0,50.0,43.0,50.0,65.0,65.0,54,55.1,53.0,64.0,45,46.0,49.0,39.0,35.0,46.0,39.0,37.0,51.0,32,22.0,57.0,50.0,33.0,74.0,33.0,14.0,21.0,24.0,24.0,18.0,18
2019_01_30,86.7,79.0,84.0,81.0,86.7,70.0,94.0,104.0,92.0,84,89,90.0,93.0,86.5,77.0,92.0,84,78.0,78.0,86.0,113.0,88.0,86.24642857142858,79.0,91.0,72.0,89.0,100.0,68.0,46.0,38.0,30.0,50.0,56.0,44.0,50.0,50.0,74.0,62.0,74,59.5,70.0,65.0,47,47.0,49.0,51.0,47.0,53.0,40.0,39.0,30.0,30,23.0,62.0,55.0,39.0,75.0,24.0,15.5,17.0,20.0,20.0,12.0,12
2019_01_31,65.7,58.0,59.0,52.0,65.7,56.0,69.0,87.0,66.0,71,70,69.0,71.0,64.0,56.0,64.0,65,65.0,65.0,84.0,97.0,81.0,72.69285714285715,83.0,103.0,79.0,102.0,98.0,70.0,49.0,40.0,31.0,41.0,46.0,30.0,47.0,41.0,62.0,45.0,55,50.4,69.0,68.0,39,38.0,52.0,60.0,47.0,59.0,39.0,25.0,22.0,33,23.0,55.0,65.0,42.0,68.0,19.0,10.0,16.0,20.0,20.0,11.0,11
2019_02_01,41.3,32.0,34.0,39.0,41.300000000000004,33.0,43.0,52.0,44.0,41,45,50.0,47.0,39.25,33.0,34.0,43,38.0,38.0,43.0,35.0,45.0,44.816071428571426,51.0,76.0,50.0,53.0,78.0,56.0,31.0,31.0,31.0,25.0,30.0,21.0,24.0,25.0,42.0,32.0,33,33.1,51.0,48.0,38,42.0,51.0,45.0,36.0,45.0,31.0,27.0,32.0,33,25.0,47.0,50.0,34.0,72.0,22.0,10.0,18.0,21.0,21.0,12.0,12
2019_02_02,36.9,29.0,32.0,32.0,36.9,29.0,37.0,48.0,40.0,37,39,46.0,40.0,32.0,25.0,30.0,33,34.0,34.0,45.0,32.0,44.0,40.81428571428571,59.0,68.0,56.0,56.0,64.0,48.0,42.0,38.0,34.0,27.0,29.0,22.0,30.0,27.0,42.0,32.0,32,32.95,48.0,40.5,45,47.0,57.0,56.0,46.0,58.0,35.0,31.0,51.0,33,26.0,51.0,58.0,39.0,73.0,15.0,16.5,13.0,16.0,16.0,9.0,9
2019_02_03,27.2,21.0,26.0,25.0,27.2,21.0,28.0,31.0,29.0,26,29,36.0,31.0,25.75,20.0,25.0,27,24.0,24.0,29.0,27.0,29.0,30.255357142857143,25.0,60.0,42.0,30.0,48.0,54.0,66.0,57.5,49.0,23.5,23.5,22.0,25.0,23.5,30.0,29.0,36,29.3,46.0,34.5,30,29.0,53.0,55.0,43.0,56.0,29.0,20.0,34.0,40,32.0,40.0,61.0,39.0,60.0,12.0,17.5,12.0,13.0,13.0,8.0,8
2019_02_04,28.7,20.0,27.0,28.0,28.7,21.0,30.0,38.0,31.0,27,30,35.0,31.0,24.25,21.0,21.0,24,27.0,27.0,29.0,23.0,32.0,31.7375,39.0,65.0,42.0,33.0,45.0,61.0,76.0,63.0,50.0,19.0,22.0,15.0,20.0,19.0,23.0,23.0,21,23.8,35.0,41.0,23,22.0,33.0,38.0,31.0,47.0,21.0,17.0,40.0,29,20.0,31.0,65.0,30.0,48.0,16.0,10.5,17.0,18.0,18.0,12.0,12
2019_02_05,28.0,20.0,24.0,28.0,28.0,21.0,29.0,35.0,30.0,24,31,38.0,34.0,26.0,20.0,22.0,28,26.0,26.0,24.0,23.0,31.0,31.535714285714285,34.0,64.0,41.0,32.0,46.0,70.0,74.0,62.5,51.0,18.666666666666668,21.0,13.0,22.0,18.666666666666668,24.0,24.0,22,24.033333333333335,35.0,42.0,20,18.0,29.0,41.0,25.0,44.0,24.0,18.0,38.0,19,15.0,29.0,64.0,26.0,39.0,16.0,11.0,17.0,18.0,18.0,15.0,15
2019_02_06,21.6,12.0,17.0,21.0,21.599999999999998,17.0,22.0,33.0,24.0,18,23,29.0,28.0,19.75,15.0,17.0,19,18.0,18.0,21.0,18.0,26.0,23.78392857142857,29.0,39.0,30.0,24.0,38.0,47.0,99.0,74.0,49.0,27.333333333333332,19.0,47.0,16.0,27.333333333333332,19.0,18.0,15,23.766666666666666,22.0,27.0,26,24.0,47.0,56.0,35.0,67.0,27.0,24.0,42.0,30,15.0,35.0,84.0,32.0,36.0,22.0,15.5,17.0,24.0,24.0,15.0,15
2019_02_07,24.4,16.0,19.0,23.0,24.4,21.0,25.0,37.0,27.0,22,24,30.0,32.0,22.5,19.0,19.0,20,21.0,21.0,26.0,22.0,28.0,25.832142857142856,31.0,43.0,32.0,28.0,38.0,28.0,94.0,75.5,57.0,29.333333333333332,22.0,47.0,19.0,29.333333333333332,23.0,21.0,16,26.566666666666663,25.0,34.0,26,24.0,76.0,64.0,68.0,85.0,35.0,27.0,42.0,47,25.0,40.0,58.0,40.0,52.0,20.0,18.0,16.0,20.0,20.0,11.0,11
2019_02_08,25.3,14.0,22.0,24.0,25.3,21.0,26.0,41.0,25.0,21,25,34.0,32.0,22.75,19.0,18.0,22,20.0,20.0,26.0,14.0,28.0,27.19107142857143,32.0,50.0,37.0,32.0,42.0,43.0,97.0,79.5,62.0,28.0,20.0,49.0,15.0,28.0,21.0,21.0,19,26.4,26.0,37.0,25,21.0,49.0,65.0,45.0,46.0,34.0,25.0,41.0,39,19.0,36.0,76.0,35.0,59.0,13.0,21.5,16.0,17.0,17.0,11.0,11
2019_02_09,19.6,9.0,15.0,20.0,19.599999999999998,15.0,19.0,34.0,20.0,16,20,28.0,25.0,17.0,13.0,14.0,16,17.0,17.0,20.0,7.0,26.0,22.792857142857144,26.0,54.0,30.0,28.0,40.0,53.0,100.0,87.5,75.0,15.666666666666666,19.0,11.0,17.0,15.666666666666666,17.0,19.0,15,18.633333333333333,26.0,31.0,25,24.0,49.0,96.0,44.0,82.0,39.0,26.0,38.0,33,22.0,36.0,65.0,33.0,48.0,20.0,24.5,14.0,18.0,18.0,11.0,11
2019_02_10,21.8,13.0,18.0,22.0,21.8,18.0,22.0,27.0,25.0,20,23,30.0,28.0,22.0,18.0,19.0,23,20.0,20.0,20.0,12.0,29.0,24.87857142857143,25.0,44.0,30.0,32.0,42.0,51.0,99.0,88.5,78.0,18.0,22.0,16.0,16.0,18.0,24.0,24.0,21,21.9,27.0,33.0,29,26.0,66.0,115.0,52.0,90.0,41.0,29.0,43.0,45,30.0,49.0,90.0,34.0,44.0,22.0,20.5,17.0,20.0,20.0,13.0,13
2019_02_11,25.2,16.0,22.0,24.0,25.2,22.0,26.0,38.0,27.0,23,26,28.0,33.0,23.5,18.0,20.0,23,23.0,23.0,26.0,15.0,34.0,26.960714285714285,29.0,50.0,36.0,29.0,35.0,35.0,68.0,66.0,64.0,16.0,20.0,15.0,13.0,16.0,22.0,22.0,22,21.4,34.0,34.0,39,38.0,86.0,106.0,111.0,102.0,35.0,33.0,52.0,59,49.0,60.0,129.0,40.0,51.0,15.0,22.0,17.0,20.0,20.0,9.0,9
2019_02_12,31.8,24.0,25.0,33.0,31.8,25.0,34.0,42.0,36.0,27,36,36.0,39.0,28.75,25.0,23.0,28,31.0,31.0,37.0,17.0,32.0,33.11964285714286,40.0,63.0,42.0,38.0,41.0,30.0,45.0,34.0,23.0,16.666666666666668,18.0,17.0,15.0,16.666666666666668,24.0,29.0,21,24.533333333333335,36.0,52.0,82,74.0,88.0,71.0,95.0,71.0,59.0,60.0,45.0,58,46.0,90.0,101.0,67.0,58.0,18.0,17.0,17.0,13.0,13.0,10.0,10
2019_02_13,56.2,45.0,44.0,52.0,56.2,50.0,59.0,64.0,62.0,58,61,67.0,66.0,54.25,47.0,52.0,52,55.0,55.0,58.0,64.0,60.0,57.84464285714286,57.0,75.0,60.0,78.0,70.0,42.0,65.0,50.5,36.0,31.0,32.0,30.0,31.0,31.0,34.0,40.0,35,38.2,52.0,66.0,74,72.0,54.0,37.0,41.0,55.0,57.0,62.0,41.0,45,40.0,74.0,60.0,59.0,54.0,15.0,14.5,19.0,18.0,18.0,10.0,10
2019_02_14,29.5,19.0,28.0,28.0,29.5,24.0,29.0,42.0,31.0,27,28,39.0,34.0,25.25,22.0,21.0,24,25.0,25.0,29.0,19.0,37.0,33.00892857142857,39.0,71.0,40.0,41.0,65.0,53.0,61.0,52.0,43.0,19.333333333333332,20.0,17.0,21.0,19.333333333333332,24.0,22.0,20,24.866666666666667,43.0,43.0,42,42.0,56.0,40.0,49.0,62.0,36.0,36.0,35.0,55,41.0,60.0,61.0,40.0,51.0,17.0,15.0,14.0,20.0,20.0,11.0,11
2019_02_15,26.3,18.0,24.0,26.0,26.3,22.0,27.0,36.0,29.0,24,26,31.0,32.0,24.0,21.0,20.0,23,23.0,23.0,26.0,16.0,27.0,27.592857142857145,31.0,48.0,33.0,29.0,43.0,38.0,74.0,67.0,60.0,18.0,19.0,15.0,20.0,18.0,23.0,23.0,18,22.0,34.0,32.0,46,38.0,65.0,49.0,55.0,68.0,42.0,40.0,34.0,59,47.0,72.0,55.0,52.0,54.0,16.0,14.5,17.0,22.0,22.0,9.0,9
2019_02_16,22.7,14.0,19.0,22.0,22.7,21.0,21.0,32.0,25.0,21,22,30.0,28.0,19.75,17.0,17.0,17,20.0,20.0,28.0,15.0,25.0,24.791071428571428,27.0,46.0,30.0,30.0,46.0,36.0,79.0,74.0,69.0,15.666666666666666,18.0,12.0,17.0,15.666666666666666,20.0,20.0,15,18.93333333333333,28.0,28.0,56,46.0,54.0,43.0,52.0,62.0,47.0,47.0,37.0,46,44.0,75.0,48.0,52.0,49.0,20.0,17.5,17.0,20.0,20.0,10.0,10
2019_02_17,17.6,10.0,14.0,17.0,17.599999999999998,15.0,18.0,27.0,20.0,17,16,22.0,25.0,17.0,13.0,15.0,15,17.0,17.0,22.0,13.0,19.0,20.32857142857143,23.0,34.0,23.0,27.0,39.0,39.0,52.0,39.5,27.0,12.0,13.0,9.0,14.0,12.0,18.0,16.0,14,15.7,21.0,28.0,40,41.0,28.0,20.0,31.0,32.0,32.0,39.0,34.0,30,21.0,51.0,27.0,29.0,40.0,20.0,20.0,21.0,19.0,19.0,12.0,12
2019_02_18,16.3,8.0,12.0,15.0,16.3,13.0,16.0,30.0,20.0,14,16,19.0,25.0,15.5,11.0,12.0,14,14.0,14.0,23.0,12.0,19.0,18.396428571428572,23.0,36.0,22.0,25.0,27.0,27.0,42.0,32.0,22.0,12.666666666666666,15.0,9.0,14.0,12.666666666666666,16.0,14.0,14,15.433333333333332,21.0,26.0,47,45.0,43.0,27.0,39.0,41.0,29.0,34.0,43.0,39,29.0,56.0,33.0,46.0,40.0,15.0,18.0,19.0,19.0,19.0,13.0,13
2019_02_19,13.11111111111111,5.0,13.11111111111111,13.0,13.111111111111112,7.0,13.0,23.0,16.0,13,13,15.0,21.0,13.0,8.0,10.0,13,11.0,11.0,14.0,9.0,17.0,14.833333333333334,19.0,29.0,16.0,12.0,28.0,27.0,51.0,38.0,25.0,10.333333333333334,12.0,8.0,11.0,10.333333333333334,14.0,18.0,12,13.76666666666667,20.0,22.0,60,52.0,47.0,27.0,41.0,44.0,32.0,40.0,49.0,42,34.0,63.0,36.0,59.0,55.0,17.0,9.0,19.0,19.0,19.0,12.0,12
2019_02_20,16.22222222222222,7.0,16.22222222222222,15.0,16.222222222222225,8.0,16.0,34.0,19.0,14,14,19.0,22.0,14.0,10.0,11.0,13,14.0,14.0,19.0,11.0,15.0,18.023809523809526,23.0,34.0,22.0,23.0,31.0,34.0,60.0,45.0,30.0,13.0,12.0,11.0,16.0,13.0,13.0,20.0,10,15.6,21.0,27.0,57,51.0,59.0,37.0,51.0,54.0,34.0,42.0,43.0,49,36.0,66.0,41.0,60.0,52.0,16.0,10.0,19.0,16.0,16.0,13.0,13
