Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,41T,46T,47T,72T,82T,83T,88T,90T,91T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,42T,44T,62T,63T,78T,89T,43T,80T,93T
2021_02_14,29.0,25,34.0,29,24.0,23,25.0,30.5,31.0,29,32.0,42.0,28.0,21.0,20,36,32.0,28.0,22.0,29.0,20.0,37.0,22.0,34.0,53.0,39.0,30.0,28.0,13.0,36.0,39.0,49.0,44,38.0,57.0,54.0,25.0,44.5,44.5,40,25.0,25,28,26.0,28.0,23.0,26.0,39.0,41.0,48.0,30.0,43.0,34.0,57.0,52.0,70.0,49.0,38.0,66.0,31.0,53.0,42.0,50.0,42,53.0,52.0,50.0,48.875,27.0,22,23,19,16.0,23.0,27.0,18.0,22.5
2021_02_15,26.0,22,34.0,26,22.0,22,23.0,30.5,29.0,27,29.0,39.0,28.0,19.0,20,33,28.0,24.0,20.0,30.0,20.0,33.0,22.0,36.0,54.0,32.0,31.0,33.0,14.0,31.0,35.0,54.0,48,45.0,61.0,64.0,36.0,51.333333333333336,51.33333333333333,36,22.0,24,25,25.0,27.0,24.0,24.0,42.0,41.0,43.0,30.0,52.0,40.0,59.0,48.0,88.0,54.0,41.0,71.0,51.0,52.0,45.0,55.0,47,62.0,55.0,49.0,54.3125,24.0,23,29,22,17.0,23.0,24.0,17.0,20.5
2021_02_16,28.0,25,36.0,28,22.0,22,23.0,25.5,31.0,28,30.0,39.0,30.0,21.0,23,34,28.0,26.0,22.0,35.0,23.0,33.0,23.0,35.0,42.0,31.0,30.0,27.0,15.0,30.0,33.0,63.0,62,46.0,69.0,96.0,36.0,62.0,62.0,38,20.0,23,23,26.0,26.0,31.0,25.0,36.0,44.0,53.0,31.0,51.0,42.0,49.0,49.0,70.0,47.0,39.0,62.0,86.0,49.0,36.0,51.0,49,55.0,64.0,47.0,52.875,29.0,26,35,25,21.0,26.0,28.0,26.0,27.0
2021_02_17,34.0,30,42.0,35,27.0,27,27.0,47.0,36.0,33,38.0,49.0,35.0,26.0,29,41,37.0,33.0,27.0,40.0,29.0,36.0,29.0,35.0,51.0,36.0,33.0,35.0,17.0,35.0,36.0,48.0,58,44.0,48.0,42.0,25.0,44.166666666666664,44.16666666666667,36,24.0,26,29,29.0,32.0,29.0,31.0,36.0,40.0,54.0,34.0,49.0,41.0,60.0,59.0,66.0,55.0,35.0,61.0,74.0,45.0,35.0,52.0,52,48.0,75.0,51.0,53.625,32.0,26,31,24,21.0,32.0,35.0,26.0,30.5
2021_02_18,50.0,45,49.0,46,40.0,40,32.0,51.0,46.0,47,50.0,53.0,50.0,45.0,43,60,50.0,46.0,41.0,48.0,52.0,49.0,43.0,37.0,38.0,33.0,46.0,32.0,33.0,36.0,32.0,35.0,32,32.0,30.0,30.0,33.0,32.0,32.0,44,33.0,38,37,38.0,43.0,36.0,44.0,43.0,31.0,52.0,43.0,61.0,50.0,51.0,46.0,50.0,45.0,36.0,56.0,65.0,37.0,31.0,48.0,38,42.0,52.0,40.0,46.75,28.0,16,24,18,13.0,22.0,28.0,19.0,23.5
2021_02_19,41.0,38,42.0,41,34.0,34,28.0,47.0,39.0,38,41.0,46.0,43.0,42.0,36,49,39.0,36.0,31.0,39.0,55.0,40.0,43.0,30.0,33.0,30.0,53.0,37.0,31.0,32.0,30.0,38.0,32,30.0,34.0,33.0,29.0,32.666666666666664,32.666666666666664,37,37.0,37,39,38.0,37.0,35.0,37.0,35.0,22.0,35.0,54.0,47.0,38.0,46.0,42.0,49.0,49.0,32.0,41.0,39.0,37.0,27.0,44.0,34,35.0,42.0,38.0,40.0,26.0,16,23,18,13.0,28.0,26.0,22.0,24.0
2021_02_20,44.0,40,45.0,42,36.0,34,31.0,49.0,40.0,42,45.0,46.0,45.0,43.0,35,54,47.0,37.0,32.0,39.0,62.0,39.0,43.0,34.0,36.0,35.0,52.0,37.0,36.0,34.0,33.0,37.0,32,29.0,57.0,40.0,33.0,38.0,38.0,42,37.0,38,42,43.0,39.0,34.0,44.0,38.0,35.0,41.0,67.0,41.0,30.0,61.0,56.0,41.0,56.0,28.0,40.0,41.0,38.0,27.0,50.0,40,29.0,66.0,42.0,42.875,24.0,19,22,19,10.0,19.0,28.0,22.0,25.0
2021_02_21,60.0,52,57.0,58,54.0,50,42.0,43.0,56.0,59,59.0,63.0,59.0,50.0,51,72,66.0,51.0,49.0,64.0,71.0,64.0,62.0,72.0,49.0,55.0,73.0,66.0,48.0,56.0,42.0,47.0,48,38.0,51.0,69.0,42.0,49.166666666666664,49.16666666666667,63,57.0,64,62,66.0,53.0,50.0,59.0,57.0,63.0,66.0,76.0,44.0,37.0,59.0,62.0,68.0,51.0,26.0,45.0,48.0,39.0,26.0,49.0,41,31.0,96.0,57.0,48.6875,22.0,18,23,19,11.0,29.0,27.0,21.0,24.0
2021_02_22,49.0,43,54.0,48,41.0,42,40.0,54.0,49.0,47,53.0,60.0,46.0,39.0,37,54,47.0,47.0,40.0,49.0,37.0,63.0,48.0,65.0,43.25,61.0,67.0,70.0,32.0,61.0,57.0,62.0,60,40.0,79.0,92.0,42.0,62.5,62.5,58,45.0,43,43,45.0,38.0,42.0,45.0,73.0,62.0,71.0,48.0,39.0,32.0,67.0,46.0,67.0,58.0,22.0,35.0,35.0,48.0,32.0,43.0,59,31.0,119.0,72.0,50.3125,27.0,20,29,23,8.0,30.0,24.0,19.0,21.5
2021_02_23,40.0,35,46.0,40,32.0,34,32.0,43.0,43.0,39,35.333333333333336,55.0,41.0,31.0,33,48,38.0,37.0,31.0,41.0,35.0,42.0,37.0,43.0,51.0,40.0,56.0,69.0,30.0,44.0,48.0,57.0,60,47.0,72.0,137.0,43.0,69.33333333333333,69.33333333333333,45,32.0,35,38,39.0,35.0,39.0,33.0,50.0,42.0,53.0,38.0,50.0,42.0,81.0,49.0,93.0,69.0,29.0,39.0,47.0,59.0,42.0,56.0,66,50.0,78.0,68.0,57.375,39.0,38,32,30,18.0,41.0,36.0,28.0,32.0
2021_02_24,40.0,34,44.0,41,33.0,35,29.0,45.0,41.0,40,41.666666666666664,56.0,41.0,33.0,33,45,39.0,37.0,33.0,41.0,37.0,51.0,42.0,50.0,56.0,47.0,56.0,49.0,31.0,53.0,49.0,61.0,62,64.0,77.0,127.0,38.0,71.5,71.5,50,33.0,32,33,37.0,34.0,35.0,32.0,54.0,43.0,58.0,40.0,66.0,53.0,79.0,80.0,38.0,75.0,44.0,70.0,54.0,61.0,50.0,53.0,65,69.0,48.0,70.0,60.9375,39.0,37,37,32,30.0,40.0,37.0,28.0,32.5
2021_02_25,48.0,44,50.0,44,42.0,38,32.0,49.0,49.0,49,46.0,64.0,49.0,41.0,41,57,50.0,42.0,35.0,44.0,44.0,51.0,40.0,47.0,53.0,44.0,48.0,42.0,31.0,42.0,42.0,78.0,59,49.0,84.0,119.0,81.0,78.33333333333333,78.33333333333334,49,31.0,31,38,35.0,42.0,39.0,42.0,54.0,38.0,56.0,32.0,50.0,38.0,55.0,57.0,54.0,49.0,41.0,62.0,40.0,62.0,42.0,32.0,62,49.0,43.0,54.0,49.375,37.0,33,28,26,25.0,37.0,32.0,24.0,28.0
2021_02_26,52.0,43,48.0,48,44.0,45,33.0,55.0,51.0,53,51.0,66.0,51.0,43.0,42,55,47.0,47.0,42.0,55.0,23.5,50.0,50.0,62.0,62.0,47.0,54.0,45.0,32.0,62.0,51.0,72.0,57,38.0,95.0,116.0,95.0,78.83333333333333,78.83333333333334,48,32.0,32,37,32.0,36.0,39.0,37.0,48.0,38.0,51.0,33.0,56.0,46.0,76.0,75.0,63.0,54.0,38.0,57.0,50.0,55.0,32.0,52.0,66,55.0,65.0,64.0,56.5,28.0,25,23,19,17.0,39.0,29.0,22.0,25.5
2021_02_27,52.0,44,48.0,46,44.0,44,34.0,52.0,51.0,52,48.0,66.0,54.0,42.0,43,62,51.0,44.0,39.0,60.0,30.0,52.0,55.0,53.0,56.0,47.0,60.0,44.0,30.0,72.0,56.0,72.0,56,54.0,101.0,110.0,62.0,75.83333333333333,75.83333333333334,47,40.0,37,45,40.0,44.0,40.0,39.0,46.0,31.0,51.0,28.0,77.0,63.0,110.0,106.0,104.0,99.0,49.0,68.0,70.0,57.0,39.0,64.0,92,53.0,87.0,86.0,76.5,30.0,24,22,16,15.0,43.0,39.0,20.0,29.5
