Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,41T,46T,47T,72T,82T,83T,88T,90T,91T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,42T,44T,62T,63T,78T,89T,43T,80T,93T
2021_04_25,26.0,19,19.0,23,21.0,20,20.0,32.0,26.0,24,22.0,25.0,26.0,21.0,22,35,24.0,17.0,16.0,26.0,24.0,27.0,20.0,25.0,26.0,21.0,21.0,18.0,12.0,23.0,36.0,39.0,25,36.0,6.0,34.0,45.0,30.833333333333332,30.833333333333336,20,22.0,20,22,23.0,21.0,21.0,22.0,21.0,11.0,28.0,12.0,40.0,35.0,45.0,47.0,42.0,51.0,30.0,67.0,41.0,54.0,42.0,29.0,48,41.0,27.0,37.0,42.25,21.0,15,6,8,7.0,10.0,12.0,4.0,8.0
2021_04_26,26.0,19,27.0,23,21.0,18,19.0,34.0,27.0,28,23.0,28.0,27.0,20.0,22,34,25.0,19.0,15.0,27.0,22.0,17.0,14.0,15.0,27.0,18.0,17.0,12.0,10.0,19.0,27.0,42.0,26,19.0,6.0,30.0,34.0,26.166666666666668,26.166666666666664,28,17.0,16,18,19.0,21.0,20.0,23.0,26.0,8.0,16.0,14.0,30.0,25.0,20.0,21.0,16.0,26.0,27.0,24.0,26.0,27.0,22.0,20.0,31,20.0,19.0,24.0,23.625,19.0,18,8,12,7.0,7.0,13.0,10.0,11.5
2021_04_27,19.0,16,27.0,21,15.0,13,18.0,24.0,22.0,20,24.0,24.0,20.0,19.0,17,35,28.0,17.0,15.0,23.0,27.0,19.0,18.0,17.0,31.0,17.0,15.0,12.0,9.0,14.0,12.0,16.0,16,8.0,6.0,12.0,7.0,10.833333333333334,10.833333333333332,21,12.0,12,13,12.0,19.0,19.0,16.0,21.0,9.0,22.0,10.0,23.0,17.0,19.0,18.0,14.0,22.0,15.0,23.0,16.0,18.0,19.0,14.0,19,19.0,11.0,11.0,17.375,18.0,12,7,11,7.0,10.0,13.0,7.0,10.0
2021_04_28,28.0,23,19.0,24,21.0,19,22.0,30.0,31.0,29,30.0,39.0,29.0,21.0,19,46,27.0,23.0,17.0,28.0,34.0,17.0,20.0,19.0,26.0,16.0,22.0,20.0,11.0,15.0,15.0,23.0,21,10.0,6.0,24.0,15.0,16.5,16.5,20,17.0,16,15,17.0,18.0,16.0,16.0,17.0,6.0,18.0,6.0,17.0,11.0,11.0,8.0,9.0,29.0,12.0,21.0,8.0,13.0,13.0,8.0,13,14.0,13.0,14.0,13.375,21.0,16,9,11,7.0,15.0,14.0,8.0,11.0
2021_04_29,17.0,13,20.0,15,13.0,11,17.0,26.0,19.0,19,22.0,21.0,19.0,15.0,11,30,17.0,15.0,13.0,21.0,21.0,14.0,16.0,11.0,18.0,13.0,18.0,15.0,7.0,11.0,12.0,21.0,12,6.0,6.0,21.0,11.0,12.833333333333334,12.833333333333332,16,17.5,9,9,7.0,14.0,11.0,12.0,11.0,5.0,13.0,8.0,16.0,8.0,8.0,6.0,6.0,11.0,10.0,19.0,8.0,11.0,9.0,7.0,9,9.0,9.0,8.0,9.625,20.0,20,11,12,8.0,14.0,17.0,8.0,12.5
2021_04_30,18.0,16,20.0,19,15.0,12,20.0,25.0,23.0,18,25.0,33.0,20.0,15.0,13,33,24.0,17.0,15.0,18.0,26.0,21.0,15.0,14.0,20.0,14.0,19.0,9.0,8.0,14.0,15.0,20.0,15,7.0,6.0,18.0,13.0,13.166666666666666,13.166666666666668,18,14.0,12,12,27.0,15.0,13.0,16.0,13.0,5.0,12.0,12.0,14.0,7.0,7.0,6.0,4.0,10.0,12.0,22.0,9.0,15.0,9.0,4.0,8,9.0,10.0,8.0,9.625,21.0,20,8,12,9.0,13.0,16.0,12.0,14.0
2021_05_01,17.0,12,21.0,15,13.0,12,17.0,22.0,20.0,18,17.0,20.0,18.0,11.0,11,31,21.0,13.0,10.0,18.0,12.0,19.0,12.0,16.0,20.0,17.0,14.0,9.0,6.0,11.0,18.0,19.0,13,7.0,6.0,18.0,20.0,13.833333333333334,13.833333333333332,27,18.0,12,14,22.0,22.0,24.0,19.0,18.0,6.0,17.0,15.0,15.0,10.0,12.0,6.0,4.0,15.0,12.0,17.0,10.0,15.0,6.0,9.0,10,9.0,16.0,8.0,10.875,23.0,18,8,11,13.0,14.0,16.0,10.0,13.0
2021_05_02,21.0,21,15.0,16,20.0,22,21.0,25.0,26.0,22,28.0,25.0,23.0,17.0,15,40,33.0,19.0,17.0,21.0,19.0,17.0,16.0,20.0,27.0,20.0,17.0,14.0,8.0,15.0,23.0,23.0,14,10.0,7.0,17.0,21.0,15.333333333333334,15.333333333333332,28,18.0,20,17,22.0,22.0,21.0,21.0,25.0,8.0,19.0,14.0,16.0,14.0,7.0,7.0,58.5,12.0,12.0,18.0,9.0,17.0,8.0,10.0,11,13.0,15.0,14.0,15.09375,19.0,15,8,12,13.0,11.0,16.0,9.0,12.5
2021_05_03,25.0,20,14.0,18,20.0,17,20.0,31.0,28.0,27,27.0,31.0,25.0,19.0,20,39,27.0,19.0,18.0,29.0,24.0,14.5,15.0,20.0,33.0,20.0,15.0,10.0,7.0,18.0,22.0,24.0,16,8.0,7.0,16.0,22.0,15.5,15.5,13,21.0,18,18,19.0,20.0,18.0,18.0,19.0,8.0,21.0,15.0,18.0,14.0,12.0,15.0,8.0,17.0,14.0,22.0,14.0,16.0,12.0,10.0,19,16.0,12.0,17.0,14.75,18.0,15,10,14,12.0,12.0,15.0,10.0,12.5
2021_05_04,24.0,23,21.0,18,24.0,22,22.0,32.0,29.0,25,34.0,35.0,28.0,21.0,21,33,27.0,20.0,19.0,30.0,20.0,28.0,22.0,24.0,35.0,25.0,21.0,13.0,10.0,19.0,25.0,26.0,21,11.0,8.0,44.0,27.0,22.833333333333332,22.833333333333336,14,17.0,17,22,25.0,18.0,20.0,19.0,21.0,16.0,28.0,15.0,23.0,19.0,18.0,23.0,12.0,22.5,29.0,41.0,18.0,20.0,13.0,20.0,26,20.0,17.0,18.0,21.21875,24.0,13,10,14,14.0,15.0,20.0,14.0,17.0
2021_05_05,28.0,25,25.0,20,21.0,23,23.0,29.0,29.0,28,33.0,33.0,30.0,25.0,23,47,41.0,24.0,20.0,27.0,23.0,26.0,18.0,21.0,30.0,16.0,19.0,15.0,10.0,15.0,24.0,28.0,20,13.0,8.0,36.0,14.0,19.833333333333332,19.833333333333336,16,22.0,18,25,24.0,24.0,19.0,22.0,23.0,14.0,29.0,13.0,24.0,19.0,19.0,19.0,12.0,24.0,22.0,19.0,13.0,26.0,19.0,20.0,25,22.0,19.0,18.0,20.0,24.0,10,10,15,10.0,13.0,20.0,8.0,14.0
2021_05_06,19.0,18,16.0,17,15.0,16,18.0,19.0,21.0,19,22.0,24.0,21.0,16.0,14,35,23.0,15.0,14.0,23.0,26.0,18.0,19.0,16.0,31.0,15.0,26.0,15.0,15.0,21.0,21.0,22.0,18,14.0,8.0,24.0,11.0,16.166666666666668,16.166666666666668,13,15.0,16,14,13.0,18.0,12.0,14.0,19.0,10.0,21.0,10.0,23.0,20.0,18.0,15.0,12.0,22.0,9.0,11.0,30.5,25.0,18.0,20.0,20,19.0,20.0,19.0,18.84375,18.0,12,8,11,6.0,9.0,19.0,8.333333333333334,13.666666666666668
2021_05_07,15.0,13,13.0,12,11.0,12,15.0,23.0,18.0,17,18.0,17.0,17.0,14.0,11,33,22.0,12.0,9.0,18.0,26.0,16.0,12.0,10.0,26.0,14.0,14.0,11.0,10.0,9.0,20.0,27.0,15,16.0,6.0,36.0,19.0,19.833333333333332,19.833333333333336,17,16.0,13,10,13.0,15.0,13.0,11.0,15.0,5.0,15.0,6.0,19.0,13.0,13.0,18.0,10.0,21.0,10.0,13.0,30.0,20.0,12.0,15.0,19,17.0,24.0,24.0,17.375,16.0,9,5,10,7.0,10.0,14.0,9.0,11.5
2021_05_08,25.0,24,21.0,19,19.0,18,20.0,36.0,28.0,27,29.0,30.0,29.0,25.0,23,45,31.0,17.0,14.0,31.0,23.0,19.0,14.0,13.0,30.0,22.0,16.0,13.0,8.0,11.0,21.0,32.0,16,19.0,6.0,50.0,28.0,25.166666666666668,25.166666666666664,27,18.0,13,11,14.0,16.0,20.0,15.0,26.0,12.0,23.0,11.0,22.0,19.0,21.0,20.0,14.0,25.0,17.0,22.0,14.0,24.0,15.0,20.0,26,25.0,18.0,14.0,19.75,18.0,13,8,12,9.0,12.0,13.0,14.0,13.5
2021_05_09,19.0,18,20.5,17,15.0,14,19.0,24.0,23.0,21,26.0,21.0,22.0,17.0,15,37,26.0,16.0,13.0,20.0,21.0,15.0,13.0,13.0,22.0,19.0,13.0,8.0,10.0,10.0,15.0,34.0,17,14.0,6.0,29.0,38.0,23.0,23.0,22,28.0,16,22,20.0,20.0,19.0,17.0,21.0,10.0,25.0,13.0,20.0,12.0,11.0,17.0,9.0,18.0,11.0,23.0,11.0,31.0,12.0,14.0,17,16.0,10.0,15.466666666666667,15.466666666666667,16.0,14,10,11,8.0,11.0,15.0,10.0,12.5
2021_05_10,19.0,13,14.0,13,13.0,16,17.0,31.0,20.0,19,21.0,25.0,18.0,12.0,12,26,19.0,15.0,14.0,26.0,16.0,18.0,11.0,19.0,29.0,22.0,12.0,8.0,10.0,10.0,22.0,29.0,21,11.0,5.0,28.0,33.0,21.166666666666668,21.166666666666664,21,18.0,13,15,13.0,17.0,17.0,13.0,25.0,11.0,28.0,9.0,22.0,17.0,14.0,13.0,7.0,17.0,17.0,27.0,16.0,31.0,16.0,16.0,18,13.0,11.0,13.0,16.75,22.0,15,9,12,11.0,13.0,16.0,14.0,15.0
2021_05_11,15.0,12,15.0,12,12.0,13,17.0,26.0,18.0,17,23.0,19.0,16.0,12.0,10,25,16.0,13.0,11.0,22.0,12.0,22.0,12.0,15.0,25.0,17.0,15.0,10.0,9.0,13.0,19.0,28.0,19,12.0,6.0,34.0,27.0,21.0,21.0,13,16.0,9,8,11.0,16.0,12.0,14.0,22.0,6.0,20.0,10.0,17.0,11.0,14.0,13.0,9.0,14.0,14.0,22.0,12.0,25.0,21.0,10.0,18,13.0,10.0,11.0,14.625,23.0,11,8,12,9.0,11.0,15.0,10.0,12.5
2021_05_12,14.0,8,14.0,12,12.0,10,16.0,22.0,18.0,15,18.0,20.0,14.0,11.0,9,23,13.0,9.0,9.0,19.0,13.0,17.0,10.0,15.0,24.0,16.0,14.0,10.0,8.0,12.0,23.0,26.0,18,15.0,4.0,17.0,26.0,17.666666666666668,17.666666666666668,16,15.0,10,7,9.0,13.0,12.0,8.0,28.0,7.0,21.0,13.0,20.0,12.0,12.0,13.0,7.0,16.0,13.0,11.0,9.0,26.0,10.333333333333334,9.0,20,13.0,10.0,15.0,13.520833333333334,24.0,19,7,10,9.0,11.0,12.0,7.0,9.5
2021_05_13,11.0,7,14.0,10,10.0,7,15.0,20.0,15.0,12,14.0,16.0,13.0,7.0,9,21,15.0,9.0,8.0,20.0,10.0,15.0,8.0,13.0,28.0,16.0,12.0,10.0,7.0,11.0,23.0,29.0,23,14.0,5.0,22.0,22.0,19.166666666666668,19.166666666666664,10,12.0,6,7,7.0,11.0,11.0,8.0,22.0,8.0,20.0,11.0,17.0,12.0,14.0,11.0,7.0,17.0,13.0,16.0,9.0,24.0,11.0,10.0,18,11.0,9.0,15.0,13.375,18.0,20,8,10,9.0,11.0,6.0,7.0,6.5
2021_05_14,13.0,7,11.0,9,11.0,9,14.0,22.0,14.0,14,10.0,20.0,13.0,10.0,7,23,13.0,11.0,11.0,24.0,17.0,15.0,15.0,13.0,25.0,14.0,15.0,10.0,8.0,14.0,27.0,35.0,20,13.0,4.0,38.0,27.0,22.833333333333332,22.833333333333336,11,10.0,5,7,7.0,12.0,10.0,8.0,24.0,6.0,20.0,10.0,21.0,17.0,13.0,14.0,8.0,17.0,14.0,17.0,16.0,24.0,12.0,13.0,18,13.0,11.0,16.0,15.25,24.0,17,8,12,9.0,11.0,8.0,8.0,8.0
2021_05_15,13.0,8,12.0,10,12.0,10,15.0,19.0,18.0,16,13.0,24.0,15.0,8.0,10,23,13.0,11.0,10.0,23.0,13.0,21.0,11.0,15.0,20.0,15.0,14.0,10.0,10.0,13.0,22.0,37.0,20,10.0,4.0,28.0,19.0,19.666666666666668,19.666666666666664,14,15.0,6,10,8.0,13.0,12.0,10.0,16.0,6.0,18.0,10.0,26.0,23.0,17.0,16.0,9.0,21.0,22.0,31.0,27.0,29.0,16.0,19.0,26,18.0,15.0,16.0,20.6875,24.0,15,9,11,10.0,13.0,15.0,7.0,11.0
2021_05_16,10.0,6,13.0,9,8.0,8,15.0,18.0,12.0,11,12.0,21.0,11.0,6.0,6,21,12.0,8.0,9.0,15.0,11.0,22.5,10.0,17.0,25.0,15.0,14.0,10.0,7.0,13.0,21.0,25.0,20,16.0,4.0,24.0,19.0,18.0,18.0,10,14.0,8,9,9.0,12.0,15.0,12.0,15.0,4.0,15.0,8.0,25.0,24.0,20.0,22.0,15.0,25.0,20.0,32.0,19.0,27.0,19.0,20.0,30,18.0,17.0,17.0,21.875,25.0,20,8,10,7.0,12.0,17.0,7.0,12.0
2021_05_17,15.0,10,13.0,10,12.0,10,15.0,23.0,16.0,15,14.0,22.0,15.0,10.0,9,26,14.0,9.0,9.0,19.0,17.0,21.0,9.0,16.0,31.0,18.0,12.0,10.0,7.0,11.0,22.0,25.0,18,20.0,5.0,21.0,29.0,19.666666666666668,19.666666666666664,11,16.0,10,7,10.0,11.0,15.0,15.0,15.0,6.0,21.0,10.0,33.0,26.0,23.0,21.0,15.0,24.0,33.0,48.0,15.0,33.0,21.0,19.0,28,22.0,18.0,17.0,24.75,22.0,18,9,12,9.0,10.0,14.0,6.0,10.0
2021_05_18,10.0,5,12.0,9,8.0,8,14.0,20.0,13.0,11,10.0,20.0,12.0,6.0,8,21,14.0,5.0,6.0,15.0,9.0,15.0,12.0,13.0,20.0,12.0,14.0,11.0,8.0,11.0,23.0,41.0,19,16.0,6.0,10.0,17.0,18.166666666666668,18.166666666666668,8,10.0,7,5,8.0,12.0,11.0,11.0,15.0,4.0,15.0,10.0,30.0,24.0,24.0,27.0,15.0,26.0,35.0,51.0,17.0,37.0,20.0,18.0,25,22.0,19.0,16.0,25.375,19.0,14,13,11,10.0,9.0,13.0,5.0,9.0
2021_05_19,14.0,11,10.0,11,11.0,10,15.0,21.0,16.0,15,14.0,25.0,18.0,13.0,11,29,18.0,8.0,10.0,15.0,16.0,17.0,10.0,11.0,19.0,14.0,10.0,9.0,7.0,11.0,26.0,25.0,14,15.0,5.0,14.0,27.0,16.666666666666668,16.666666666666668,10,16.0,14,9,12.0,12.0,14.0,13.0,14.0,5.0,18.0,8.0,26.0,22.0,22.0,21.0,13.0,23.0,31.0,39.5,19.0,25.0,19.0,15.0,23,20.0,12.0,15.0,21.59375,17.0,16,10,11,9.0,15.0,12.0,6.0,9.0
2021_05_20,12.0,8,11.0,13,11.0,10,15.0,22.0,16.0,14,13.0,29.0,14.0,8.0,10,25,14.0,8.0,8.0,17.0,8.0,14.0,9.0,11.0,20.0,14.0,10.0,7.0,5.0,9.0,21.0,28.0,18,12.0,5.0,11.0,28.0,17.0,17.0,7,18.0,10,9,10.0,13.0,11.0,9.0,12.0,5.0,15.0,6.0,24.0,19.0,21.0,18.0,13.0,23.0,32.0,41.0,16.0,26.0,18.0,17.0,27,17.0,16.0,14.0,21.375,17.0,15,8,11,10.0,12.0,12.0,6.0,9.0
2021_05_21,10.0,6,11.0,9,8.0,7,13.0,22.0,14.0,12,11.0,22.0,12.0,8.0,9,24,14.0,6.0,6.0,14.0,12.0,7.0,7.0,8.0,16.0,12.0,5.0,5.0,5.0,6.0,17.0,25.0,19,15.0,5.0,14.0,28.0,17.666666666666668,17.666666666666668,10,12.0,12,5,5.0,10.0,14.0,9.0,13.0,3.0,16.0,4.0,29.0,22.0,23.0,19.0,14.0,23.0,32.0,35.0,12.0,33.0,18.0,15.0,28,22.0,10.0,14.0,21.8125,18.0,16,12,11,10.0,11.0,12.0,5.0,8.5
2021_05_22,12.0,8,11.0,9,8.0,8,14.0,21.0,13.0,13,11.0,23.0,13.0,8.0,7,21,15.0,7.0,6.0,14.0,15.0,7.0,5.0,5.0,8.0,10.0,6.0,5.0,4.0,4.0,10.0,22.0,12,17.0,5.0,11.0,24.0,15.166666666666666,15.166666666666668,9,11.0,8,6,5.0,6.0,9.0,4.0,10.0,4.0,14.0,5.0,23.0,18.0,17.0,16.0,10.0,17.0,30.0,38.0,17.5,28.0,14.0,10.0,18,17.0,17.5,9.0,18.75,16.0,16,10,10,9.0,9.0,15.0,7.0,11.0
2021_05_23,11.0,8,9.0,9,9.0,7,13.0,20.0,13.0,13,8.0,21.0,13.0,6.0,11,21,11.0,7.0,6.0,15.0,13.0,7.0,6.0,7.0,14.0,9.0,8.0,5.0,5.0,4.0,8.0,21.0,11,12.0,6.0,13.0,18.0,13.5,13.5,10,12.0,11,7,5.0,9.0,9.0,4.0,10.0,6.0,15.0,6.0,14.0,9.0,8.0,14.0,7.0,12.0,30.0,28.0,4.0,21.0,13.0,7.0,16,18.0,18.75,7.0,14.171875,22.0,16,11,13,11.0,9.0,17.0,8.0,12.5
2021_05_24,12.0,8,11.0,10,8.0,8,14.0,22.0,14.0,12,12.0,23.0,14.0,10.0,9,23,13.0,7.0,6.0,14.0,11.0,7.0,8.0,6.0,14.0,10.0,7.0,8.0,7.0,6.0,12.0,20.0,12,12.0,5.0,9.0,11.0,11.5,11.5,7,12.0,10,7,7.0,10.0,9.0,6.0,11.0,8.0,15.0,6.0,11.0,5.0,8.0,7.0,4.0,11.0,18.0,23.0,4.0,21.0,10.0,5.0,12,9.0,6.0,9.0,10.1875,22.0,18,14,17,10.0,13.0,16.0,10.0,13.0
2021_05_25,14.0,8,12.0,10,9.0,8,15.0,22.0,15.0,15,13.0,24.0,13.0,10.0,10,23,12.0,7.0,7.0,16.0,15.0,7.0,8.0,8.0,22.0,13.0,10.0,8.0,8.0,7.0,12.0,15.0,11,5.0,5.0,8.0,6.0,8.333333333333334,8.333333333333334,10,12.0,10,7,7.0,11.0,8.0,8.0,11.0,5.0,19.0,8.0,15.0,12.0,7.0,5.0,5.0,10.0,11.0,20.0,7.0,13.0,7.0,6.0,9,7.0,9.0,6.0,9.3125,21.0,16,16,17,16.0,13.0,16.0,12.0,14.0
2021_05_26,16.0,13,14.0,13,21.0,11,15.0,23.0,17.0,17,16.0,27.0,18.0,13.0,12,24,16.0,12.0,9.0,24.0,19.0,12.0,11.0,10.0,19.0,12.0,12.0,9.0,8.0,9.0,18.0,17.0,20,12.0,4.0,9.0,7.0,11.5,11.5,11,13.0,10,8,8.0,10.0,12.0,8.0,14.0,6.0,18.0,6.0,20.0,13.0,12.0,9.0,7.0,15.0,12.0,21.0,12.0,19.0,9.0,9.0,14,10.0,9.0,12.0,12.6875,18.0,14,16,15,15.0,9.0,15.0,7.0,11.0
2021_05_27,18.0,13,17.0,15,13.0,14,17.0,23.0,20.0,20,16.0,27.0,17.0,14.0,12,28,17.0,12.0,11.0,21.0,18.0,14.0,12.0,15.0,19.0,16.0,13.0,9.0,8.0,10.0,15.0,21.0,19,14.0,4.0,8.0,7.0,12.166666666666666,12.166666666666668,11,15.0,10,9,10.0,14.0,13.0,10.0,15.0,6.0,14.0,6.0,23.0,17.0,13.0,14.0,13.0,18.0,14.0,21.0,16.0,22.0,11.0,12.0,17,14.0,15.0,15.0,15.9375,18.0,14,10,12,10.0,10.0,17.0,10.666666666666666,13.833333333333332
2021_05_28,13.0,9,12.0,9,11.0,8,15.0,19.0,16.0,16,11.0,32.0,14.0,10.0,8,25,16.0,10.0,8.0,14.0,13.0,19.0,9.0,11.0,21.0,10.0,11.0,7.0,6.0,11.0,17.0,20.0,16,8.0,5.0,11.0,10.0,11.666666666666666,11.666666666666668,10,12.0,9,6,8.0,15.0,8.0,11.0,8.0,4.0,14.0,6.0,22.0,16.0,15.0,12.0,8.0,19.0,9.0,14.0,15.0,16.0,6.0,11.0,14,11.0,11.0,11.0,13.125,18.0,15,11,12,10.0,12.0,14.0,5.0,9.5
2021_05_29,9.0,7,9.0,9,9.0,6,14.0,17.0,14.0,12,9.0,26.0,13.0,8.0,8,24,13.0,5.0,6.0,13.0,14.0,12.0,9.0,6.0,13.0,8.0,9.0,10.0,5.0,7.0,15.0,17.0,12,9.0,5.0,12.0,12.0,11.166666666666666,11.166666666666668,8,14.0,12,7,7.0,9.0,9.0,6.0,7.0,3.0,14.0,8.0,17.0,14.0,9.0,11.0,6.0,11.666666666666666,12.0,20.5,6.0,13.0,7.0,8.0,11,11.0,5.0,9.0,10.697916666666668,18.0,16,10,14,11.0,13.0,15.0,10.0,12.5
2021_05_30,7.0,4,11.0,7,6.0,4,13.0,18.0,10.0,10,8.0,22.0,9.0,7.0,7,20,8.0,5.0,4.0,13.0,8.0,12.0,5.0,7.0,12.0,9.0,8.0,7.0,5.0,7.0,9.0,16.0,11,9.0,5.0,12.0,15.0,11.333333333333334,11.333333333333332,8,11.0,10,3,6.0,8.0,6.0,5.0,9.0,4.0,13.0,6.0,13.0,6.0,10.0,10.0,6.0,12.0,10.0,19.0,6.0,15.0,7.0,4.0,11,11.0,4.0,7.0,9.4375,20.0,21,12,11,11.0,15.0,17.0,18.0,17.5
2021_05_31,11.0,9,9.0,11,10.0,8,14.0,21.0,14.0,14,11.0,20.0,14.0,9.0,9,22,12.0,8.0,7.0,14.0,14.0,8.0,9.0,12.0,15.0,11.0,12.0,7.0,6.0,6.0,9.0,17.0,12,12.0,7.0,12.0,17.0,12.833333333333334,12.833333333333332,10,13.0,10,6,9.0,12.0,8.0,9.0,10.0,5.0,17.0,8.0,13.0,6.0,6.0,6.0,5.0,8.0,8.0,7.0,7.0,15.0,8.0,3.0,10,7.0,5.0,6.0,7.5,27.0,23,15,14,8.0,20.0,18.0,12.0,15.0
2021_06_01,12.0,11,14.0,11,14.0,10,15.0,21.0,15.0,15,12.0,25.0,15.0,11.0,10,25,15.0,9.0,8.0,19.0,12.0,9.0,12.0,9.0,18.0,15.0,12.0,7.0,8.0,8.0,13.0,19.0,15,12.0,6.0,17.0,18.0,14.5,14.5,13,13.0,12,7,11.0,12.0,13.0,11.0,14.0,9.0,18.0,16.0,18.0,12.0,13.0,9.0,10.0,13.0,14.0,19.0,11.0,17.0,9.0,9.0,11,13.0,7.0,7.0,12.0,19.0,26,13,15,11.0,14.0,15.0,15.0,15.0
2021_06_02,13.0,11,13.0,12,16.0,11,15.0,21.0,16.0,15,14.0,22.0,16.0,12.0,10,25,15.0,9.0,9.0,16.0,14.0,11.0,13.0,12.0,21.0,13.0,12.0,5.0,8.0,8.0,13.0,23.0,15,14.0,7.0,18.0,17.0,15.666666666666666,15.666666666666668,14,15.0,11,10,15.0,14.0,14.0,12.0,16.0,6.0,19.0,15.0,25.0,20.0,19.0,15.0,13.0,20.0,23.0,32.0,16.0,23.0,13.0,17.0,16,19.0,10.0,9.0,18.125,21.0,25,11,14,10.0,16.0,13.0,12.0,12.5
2021_06_03,12.0,10,13.0,11,14.0,9,15.0,20.0,14.0,14,12.0,26.0,14.0,11.0,9,24,13.0,8.0,9.0,17.0,12.0,13.0,10.0,11.0,16.0,13.0,12.0,10.0,9.0,10.0,14.0,24.0,18,13.0,8.0,22.0,17.0,17.0,17.0,14,14.0,14,8,13.0,14.0,12.0,10.0,17.0,7.0,20.0,15.0,27.0,21.0,22.0,22.0,21.0,25.0,26.0,32.0,18.0,27.0,17.0,18.0,21,25.0,13.0,15.0,21.875,21.0,24,13,13,12.0,16.0,16.0,14.0,15.0
2021_06_04,12.0,10,12.0,11,15.0,10,15.0,21.0,16.0,15,13.0,24.0,15.0,11.0,12,25,16.0,8.0,8.0,16.0,11.0,12.0,13.0,12.0,16.0,15.0,12.0,11.0,8.0,11.0,20.0,25.0,19,15.0,8.0,17.0,19.0,17.166666666666668,17.166666666666668,15,17.0,11,9,12.0,17.0,15.0,14.0,16.0,7.0,20.0,14.0,23.0,22.0,22.0,19.0,18.0,24.0,14.0,19.0,16.0,21.0,13.0,18.0,22,16.0,17.0,20.0,19.0,20.0,23,10,11,10.0,12.0,17.0,12.0,14.5
2021_06_05,11.0,10,13.0,11,15.0,9,15.0,19.0,15.0,14,12.0,25.0,14.0,12.0,10,22,15.0,9.0,7.0,19.0,11.0,9.0,11.0,10.0,17.0,16.0,10.0,10.0,8.0,9.0,18.0,27.0,21,14.0,7.0,11.0,11.0,15.166666666666666,15.166666666666668,13,15.0,11,12,10.0,13.0,13.0,11.0,9.0,6.0,18.0,11.0,16.0,10.0,15.0,10.0,7.0,17.0,12.0,14.0,7.0,14.0,12.0,11.0,13,11.0,10.0,15.0,12.125,23.0,20,10,11,11.0,14.0,14.0,9.0,11.5
2021_06_06,11.0,10,11.0,10,12.0,8,14.0,19.0,14.0,14,11.0,19.0,14.0,9.0,9,23,13.0,8.0,6.0,18.0,14.0,7.0,8.0,8.0,13.0,10.0,7.0,8.0,6.0,5.0,10.0,23.0,13,11.0,7.0,11.0,12.0,12.833333333333334,12.833333333333332,7,13.0,8,5,7.0,10.0,9.0,6.0,8.0,5.0,15.0,7.0,18.0,15.0,16.0,10.0,10.0,15.0,15.0,18.0,7.0,13.0,11.0,11.0,12,13.0,6.0,10.0,12.5,21.0,18,11,11,9.0,13.0,16.0,6.0,11.0
2021_06_07,10.0,7,11.0,8,10.0,6,13.0,18.0,14.0,13,9.0,17.0,11.0,8.0,6,21,11.0,7.0,5.0,13.0,11.0,7.0,8.0,7.0,10.0,8.0,7.0,8.0,5.0,5.0,11.0,17.0,13,10.0,6.0,7.0,8.0,10.166666666666666,10.166666666666668,8,10.0,9,5,5.0,9.0,7.0,5.0,12.0,4.0,15.0,6.0,18.0,13.0,13.0,10.0,7.0,15.0,15.0,24.0,7.0,13.0,12.0,11.0,11,14.0,4.0,9.0,12.25,21.0,17,16,15,13.0,10.0,16.0,9.0,12.5
2021_06_08,12.0,7,8.0,9,12.0,7,13.0,17.0,13.0,14,9.0,17.0,12.0,8.0,6,20,11.0,8.0,7.0,15.0,12.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,4.0,5.0,8.0,17.0,13,10.0,5.0,7.0,7.0,9.833333333333334,9.833333333333332,7,10.0,15,5,5.0,8.0,4.0,4.0,11.0,4.0,14.0,5.0,17.0,12.0,11.0,8.0,7.0,11.0,13.0,20.0,6.0,13.0,10.0,9.0,13,12.0,4.0,8.0,10.875,22.0,21,18,17,18.0,10.0,16.0,12.0,14.0
2021_06_09,10.0,6,8.0,8,12.0,6,13.0,19.0,12.0,12,8.0,20.0,10.0,8.0,6,19,11.0,5.0,5.0,18.0,10.0,8.0,7.0,7.0,12.0,8.0,9.0,8.0,4.0,5.0,10.0,16.0,9,6.0,6.0,8.0,6.0,8.5,8.5,4,11.0,8,5,5.0,8.0,4.0,4.0,10.0,3.0,17.0,4.0,12.0,6.0,6.0,5.0,5.0,8.0,7.0,10.0,4.0,9.0,6.0,4.0,9,7.0,4.0,6.0,6.75,24.0,20,17,17,17.0,11.0,13.0,13.0,13.0
