Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,17T,18T,19T,14T,27T,20T,21T,24T,25T,26T,79T,46T,72T,29T,30T,31T,32T,33T,34T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,44T,62T,63T,80T
2018_09_12,18.0,,,17.0,18.0,,21.0,19.0,17,,25.0,,15.0,21.0,,15.0,,,28.0,,13.0,11.0,26.0,,7.0,12.0,7.0,14.0,,,,18.0,13.0,15.0,,,,11.0,,11.0,,8.0,11.0,7.0,14.0,,,16.0,,16.0,9.0,13,8.0
2018_09_13,18.0,,,15.0,17.0,,22.0,17.0,16,19.0,23.0,,16.0,25.0,,22.0,,,18.0,,,13.0,20.0,,12.0,12.0,6.0,10.0,,,,16.0,14.0,20.0,,,,12.0,,9.0,,8.0,9.0,6.0,13.0,,,18.0,,15.0,11.0,14,6.0
2018_09_14,13.0,,,10.0,15.0,,18.0,17.0,15,30.0,17.0,,15.0,22.0,,15.0,,,15.0,,,8.0,23.0,,10.0,10.0,4.0,10.0,,,,15.0,10.0,12.0,,,,15.0,,8.0,,5.0,14.0,9.0,13.0,,,15.0,,12.0,11.0,12,6.0
2018_09_15,14.0,,,11.0,14.0,,21.0,17.0,17,32.0,22.0,,14.0,20.0,,18.0,,,18.0,,15.0,6.0,27.0,,,7.0,6.0,10.0,,,,15.0,12.0,14.0,,,,16.0,,13.0,,6.0,13.0,14.0,19.0,,,14.0,,9.0,6.0,8,5.0
2018_09_16,14.0,,,9.0,16.0,,20.0,16.0,20,34.0,21.0,,13.0,19.0,,7.0,,,17.0,,10.0,6.0,25.0,,11.0,6.0,15.0,13.0,,,,18.0,15.0,16.0,,,,17.0,,17.0,,9.0,14.0,10.0,21.0,,,12.0,,8.0,6.0,9,6.0
2018_09_17,10.0,,,10.0,10.0,,16.0,15.0,13,13.0,19.0,,8.0,8.0,,8.0,,,16.0,,9.0,5.0,24.0,,9.0,6.0,7.0,7.0,,,,14.0,15.0,18.0,,,,16.0,,14.0,,8.0,15.0,11.0,15.0,,,11.0,,10.0,10.0,12,8.0
2018_09_18,8.0,,,7.0,9.0,,13.0,12.0,11,19.0,19.0,,6.0,10.0,,9.0,,,16.0,,12.0,9.0,20.0,,15.0,6.0,16.0,10.0,,,,13.0,9.0,9.0,,,,14.0,,,,6.0,8.0,8.0,12.0,,,12.0,,9.0,12.0,13,7.0
2018_09_19,8.0,,,12.0,14.0,,16.0,11.0,15,23.0,18.0,,10.0,15.0,,7.0,,,17.0,,11.0,8.0,21.0,,15.0,9.0,14.0,9.0,,,,15.0,8.0,10.0,,,,9.0,,7.0,,5.0,8.0,5.0,8.0,,,13.0,,10.0,13.0,17,9.0
2018_09_20,21.0,,,16.0,20.0,,25.0,21.0,26,31.0,27.0,,21.0,26.0,,33.0,,,31.0,,13.0,7.0,18.0,,16.0,14.0,19.0,22.0,,,,20.0,9.0,8.0,,,,10.0,,7.0,,4.0,11.0,6.0,10.0,,,15.0,,8.0,8.0,17,7.0
2018_09_21,27.0,,,19.0,30.0,,31.0,27.0,28,38.0,37.0,,29.0,23.0,,52.0,,,35.0,,18.0,9.0,19.0,,29.0,21.0,33.0,31.0,,,,25.0,10.0,13.0,,,,12.0,,9.0,,4.0,9.0,4.0,15.0,,,16.0,,17.0,12.0,14,7.0
2018_09_22,19.0,,,17.0,21.0,,24.0,27.0,22,32.0,29.0,,20.0,22.0,,35.0,,,34.0,,22.0,12.0,21.0,,25.0,18.0,23.0,21.0,,,,20.0,14.0,14.0,,,,13.0,,13.0,,5.0,9.0,6.0,19.0,,,14.0,,13.0,7.0,13,7.0
2018_09_23,14.0,,,13.0,19.0,,20.0,20.0,16,29.0,25.0,,16.0,19.0,,19.0,,,25.0,,23.0,16.0,16.0,,17.0,11.0,14.0,13.0,,,,13.0,17.0,14.0,,,,13.0,,13.0,,5.0,10.0,8.0,15.0,,,15.0,,12.0,10.0,11,7.0
2018_09_24,17.0,,,15.0,19.0,,25.0,21.0,18,36.0,26.0,,15.0,19.0,,22.0,,,23.0,,19.0,15.0,20.0,,14.0,10.0,17.0,18.0,,,,12.0,16.0,12.0,,,,11.0,,13.0,,7.0,10.0,7.0,15.0,,,16.0,,14.0,12.0,17,10.0
2018_09_25,16.0,,,13.0,12.0,,26.0,19.0,18,32.0,25.0,,13.0,16.0,,22.0,,,19.0,,10.0,8.0,24.0,,13.0,12.0,18.0,14.0,,,,14.0,15.0,12.0,,,,12.0,,12.0,,7.0,16.0,9.0,14.0,,,15.0,,17.0,16.0,16,13.0
2018_09_26,13.0,,,9.0,10.0,,16.0,15.0,13,18.0,19.0,,8.0,15.0,,14.0,,,20.0,,10.0,7.0,32.0,,20.0,7.0,9.0,13.0,,,,21.0,13.0,9.0,,,,10.0,,11.0,,7.0,15.0,11.0,15.0,,,14.0,,17.0,16.0,21,13.0
2018_09_27,11.0,,,7.0,8.0,,16.0,13.0,12,17.0,17.0,,9.0,14.0,,11.0,,,24.0,,11.0,5.0,36.0,,17.0,6.0,14.0,16.0,,,,25.0,15.0,9.0,,,,12.0,,13.0,,8.0,14.0,9.0,15.0,,,14.0,,20.0,16.0,21,13.0
2018_09_28,15.0,,,15.0,12.0,,22.0,18.0,18,26.0,24.0,,15.0,16.0,,18.0,,,30.0,,12.0,10.0,34.0,,13.0,8.0,18.0,17.0,,,,24.0,16.0,8.0,,,,13.0,,14.0,,7.0,14.0,9.0,13.0,,,16.0,,11.0,11.0,14,6.0
2018_09_29,23.0,,,24.0,19.0,,30.0,23.0,27,40.0,29.0,,20.0,24.0,,19.0,,,31.0,,20.0,18.0,20.0,,16.0,9.0,17.0,22.0,,,,18.0,17.0,7.0,,,,10.0,,9.0,,6.0,8.0,7.0,10.0,,,13.0,,11.0,12.0,22,6.0
2018_09_30,12.0,,,8.0,8.0,,18.0,16.0,13,,27.0,,18.0,14.0,,30.0,,,18.0,,14.0,11.0,24.0,,22.0,12.0,19.0,13.0,,,,9.0,16.0,9.0,,,,10.0,,6.0,,7.0,8.0,7.0,13.0,,,15.0,,18.0,20.0,27,14.0
2018_10_01,10.0,,,12.0,9.0,,19.0,15.0,16,,21.0,,11.0,14.0,,27.0,,9.0,25.0,11.0,18.0,14.0,39.0,10.0,21.0,15.0,19.0,21.0,,,9.0,11.0,19.0,14.0,,,,10.0,,5.0,,5.0,7.0,6.0,16.0,,,12.0,15.0,22.0,25.0,22,18.0
2018_10_02,17.0,,,15.0,16.0,,24.0,21.0,24,33.0,26.0,,18.0,20.0,,35.0,,17.0,33.0,20.0,15.0,12.0,41.0,23.0,14.0,11.0,11.0,16.0,,,16.0,21.0,15.0,13.0,,,,11.0,,10.0,,5.0,11.0,14.0,9.0,,,11.0,8.0,16.0,20.0,17,11.0
2018_10_03,28.0,,,28.0,27.0,,38.0,38.0,36,47.0,43.0,,27.0,26.0,,62.0,,21.0,40.0,29.0,21.0,21.0,48.0,27.0,19.0,14.0,20.0,17.0,,15.0,16.0,21.0,18.0,10.0,,,,14.0,,17.0,,5.0,21.0,23.0,12.0,,,16.0,10.0,14.0,10.0,15,10.0
2018_10_04,22.0,,,24.0,24.0,,38.0,38.0,32,49.0,44.0,,25.0,25.0,,53.0,,28.0,36.0,30.0,37.0,31.0,51.0,26.0,19.0,17.0,15.0,22.0,,16.0,20.0,24.0,27.0,7.0,,,,22.0,,22.0,,11.0,25.0,25.0,22.0,,,23.0,7.0,9.0,11.0,11,9.0
2018_10_05,12.0,,,11.0,10.0,,17.0,15.0,15,27.0,21.0,,13.0,16.0,,24.0,,22.0,29.0,26.0,15.0,22.0,58.0,32.0,15.0,8.0,11.0,9.0,,7.0,12.0,16.0,35.0,8.0,,,,28.0,,27.0,,16.0,27.0,28.0,27.0,,,28.0,8.0,17.0,11.0,13,14.0
2018_10_06,16.0,,,15.0,16.0,,22.0,21.0,19,35.0,25.0,,17.0,18.0,,30.0,,13.0,29.0,19.0,19.0,15.0,61.0,30.0,13.0,7.0,13.0,14.0,,12.0,15.0,18.0,35.0,9.0,,,,28.0,,29.0,,16.0,29.0,22.0,35.0,,,31.0,14.0,15.0,10.0,18,15.0
