Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,46T,47T,72T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,43T,44T,62T,63T,78T,80T
2019_05_28,,9.0,11.0,12.0,,11.0,14.0,24.0,19.0,16,16,23.0,20.0,,10.0,15.0,13,13.0,,15.0,8.0,16.0,,14.0,16.0,8.0,24.0,10.0,18.0,,17.0,6.0,10.0,10.5,12.0,,11.0,10.0,8,,10.0,13.0,25,18.0,14.0,17.0,17.0,17.0,16.0,17.0,29.0,15.0,21,22.0,21.0,26.0,,16.0,14.0,,13.5,18.0,26.0,,15
2019_05_29,,5.0,7.0,12.0,,11.0,11.0,19.0,15.0,10,13,22.0,16.0,,11.0,12.0,15,10.0,,18.0,12.0,16.0,,9.0,15.0,9.0,21.0,7.0,15.0,,14.0,4.0,8.0,9.0,9.0,,10.0,11.0,7,9.0,10.0,10.0,20,12.0,14.0,10.0,12.0,13.0,12.0,21.0,24.0,14.0,18,15.0,15.0,12.0,,9.0,16.0,,15.0,13.0,17.0,,13
2019_05_30,,10.0,6.0,10.0,,10.0,12.0,19.0,16.0,12,12,27.0,17.0,,,13.0,15,12.0,,16.0,4.0,16.0,,10.0,16.0,5.0,20.0,8.0,16.0,,,,8.0,11.0,8.0,,11.0,9.0,7,6.0,8.0,10.0,14,8.0,7.0,5.0,5.0,8.0,12.0,13.0,16.0,,11,8.0,8.0,6.0,,8.0,14.0,,17.5,12.0,14.0,,15
2019_05_31,,11.0,11.0,15.0,,15.0,14.0,28.0,21.0,15,15,26.0,19.0,,10.0,16.0,12,12.0,,23.0,25.5,19.0,,12.0,15.0,12.0,21.0,7.0,16.0,,10.0,,9.0,11.5,6.0,,14.0,,9,13.0,11.0,16.0,17,12.0,8.0,8.0,7.0,10.0,7.0,7.0,8.0,,9,7.0,12.0,7.0,,10.0,12.0,,17.5,12.0,15.0,,9
2019_06_01,,11.0,11.0,14.0,,9.0,15.0,32.0,20.0,14,17,25.0,20.0,,10.0,17.0,14,14.0,,25.0,9.0,16.0,,14.0,12.0,11.0,20.0,8.0,17.0,,10.0,11.0,8.0,12.0,7.0,,14.0,,10,11.0,11.0,16.0,17,12.0,10.0,8.0,11.0,10.0,14.0,11.0,12.0,7.0,10,9.0,14.0,8.0,,7.0,15.0,,18.0,9.0,15.0,,6
2019_06_02,,8.0,13.0,10.0,,8.0,16.0,18.0,15.0,12,13,21.0,14.0,,6.0,12.0,12,10.0,,24.0,16.0,14.0,,12.0,17.0,13.0,19.0,5.0,14.0,,6.0,10.0,9.0,11.0,7.0,,13.0,,10,10.0,11.0,16.0,17,12.0,7.0,8.0,9.0,7.0,7.0,13.0,17.0,,11,13.0,16.0,4.0,,6.0,14.0,,16.0,14.0,11.0,,6
2019_06_03,,13.0,13.0,14.0,,11.0,17.0,19.0,22.0,15,17,24.0,21.0,,14.0,16.0,17,11.0,,17.0,13.0,12.0,,11.0,20.0,,23.0,7.0,17.0,,9.0,,15.0,11.0,13.0,,17.0,,11,12.0,8.0,17.0,13,8.0,5.0,6.0,8.0,7.0,8.0,13.0,15.0,17.0,8,9.0,9.0,6.0,,8.0,12.0,,18.0,11.0,11.0,,6
2019_06_04,,12.0,13.0,14.0,,16.0,18.0,25.0,21.0,15,19,24.0,19.0,,10.0,13.0,13,14.0,,18.0,8.0,13.0,,17.0,19.0,,23.0,8.0,18.0,,9.0,13.0,9.0,11.0,6.0,,12.0,16.0,9,13.0,10.0,16.0,15,8.0,7.0,6.0,8.0,6.0,9.0,13.0,17.0,18.0,10,9.0,8.0,7.0,,7.0,14.0,,17.0,9.0,12.0,,7
2019_06_05,,10.0,13.0,14.0,,10.0,18.0,27.0,20.0,15,17,27.0,17.0,,10.0,12.0,16,12.0,,19.0,9.0,22.0,,17.0,22.0,,20.0,8.0,19.0,,10.0,11.0,12.0,11.0,11.0,,14.0,14.0,11,13.0,12.0,18.0,14,11.0,8.0,5.0,8.0,7.0,10.0,10.0,15.0,12.0,14,8.0,9.0,9.0,,9.0,22.0,,21.0,12.0,12.0,,8
2019_06_06,,16.0,16.0,18.0,,17.0,22.0,31.0,24.0,20,23,32.0,23.0,,16.0,20.0,14,16.0,,21.0,23.0,15.0,,12.0,17.0,14.0,22.0,8.0,20.0,,9.0,7.0,14.0,13.0,12.0,,16.0,14.0,14,11.0,9.0,13.0,15,10.0,7.0,8.0,8.0,7.0,18.0,11.0,10.0,,12,9.0,11.0,,,10.0,7.0,,17.5,7.0,9.0,,6
2019_06_07,,23.0,19.0,19.0,,17.0,26.0,25.0,25.0,23,25,35.0,23.0,,21.0,23.0,16,20.0,,25.0,12.0,15.0,,17.0,25.0,14.0,18.0,11.0,16.0,,10.0,7.0,13.0,13.0,13.0,,13.0,16.0,13,7.0,9.0,12.0,16,8.0,7.0,8.0,10.0,11.0,23.0,13.0,17.0,14.0,12,11.0,12.0,,,10.0,10.0,,18.0,11.0,10.0,,3
2019_06_08,,10.0,12.0,14.0,,12.0,13.0,23.0,18.0,13,19,32.0,14.0,,9.0,14.0,14,14.0,,21.0,12.0,18.0,,14.0,21.0,8.0,19.0,7.0,17.0,,10.0,7.0,8.0,9.0,6.0,,15.0,11.0,10,10.0,7.0,14.0,17,10.0,11.0,15.0,14.0,14.0,24.0,21.0,17.0,17.0,15,10.0,14.0,,,11.0,9.0,,17.0,10.0,12.0,,5
2019_06_09,,12.0,9.0,11.0,,11.0,12.5,21.0,16.0,14,14,23.0,15.0,,6.0,11.0,12,12.0,,18.0,12.0,10.0,,11.0,11.0,6.0,15.0,6.0,15.0,,11.0,6.0,5.0,10.0,5.0,,9.0,10.0,8,7.0,6.0,10.0,16,10.0,14.0,15.0,14.0,15.0,11.0,16.0,17.0,16.0,12,10.0,15.0,,,8.0,11.0,,20.0,9.0,11.0,,5
2019_06_10,,8.0,8.0,10.0,,7.0,14.0,25.0,14.0,12,11,16.0,13.0,,7.0,11.0,12,11.0,,19.0,8.0,11.0,,10.0,14.0,6.0,16.0,6.0,13.0,,9.0,,15.0,10.0,7.0,,11.0,9.0,7,4.0,6.0,11.0,12,5.0,7.0,11.0,9.0,8.0,,13.0,13.0,14.0,14,11.0,8.0,,,9.0,8.0,,30.0,12.0,17.0,,17
2019_06_11,,9.0,10.0,14.0,,10.0,16.0,33.0,17.0,14,16,26.0,17.0,,23.0,12.0,11,12.0,,24.0,6.0,,,10.0,17.0,,22.0,9.0,17.0,,8.0,,8.0,11.0,7.0,,12.0,6.0,7,,7.0,11.0,12,9.0,3.0,11.0,9.0,8.0,16.0,9.0,8.0,20.0,10,9.0,9.0,7.0,,9.0,12.0,,29.5,21.0,22.0,,16
2019_06_12,,8.0,9.0,11.0,,8.0,13.0,26.0,13.0,11,12,16.0,15.0,,20.0,12.0,13,9.0,,21.0,3.0,14.0,,11.0,20.0,7.0,20.0,10.0,16.0,,11.0,8.0,6.0,11.0,8.0,,14.0,8.0,8,,7.0,15.0,15,10.0,11.0,8.0,10.0,9.0,16.0,10.0,12.0,16.0,12,12.0,12.0,8.0,,7.0,17.0,,24.5,13.0,21.0,,16
2019_06_13,,9.0,12.0,9.0,,12.0,15.0,21.0,14.0,11,12,19.0,17.0,,24.0,14.0,13,11.0,,21.0,5.0,10.0,,13.0,18.0,12.0,22.0,9.0,17.0,,9.0,7.0,,11.0,,,14.0,10.0,9,10.0,10.0,15.0,13,14.0,10.0,8.0,8.0,7.0,15.0,10.0,10.0,19.0,13,11.0,11.0,8.0,,7.0,16.0,,23.5,15.0,24.0,,16
2019_06_14,,8.0,7.0,10.0,,10.0,11.0,24.0,13.0,10,15,18.0,15.0,,22.0,13.0,13,10.0,,24.0,5.0,18.0,,11.0,17.0,11.0,20.0,11.0,18.0,,9.0,6.0,,12.0,,,12.0,10.0,7,8.0,9.0,13.0,12,15.0,11.0,11.0,9.0,9.0,12.0,10.0,8.0,16.0,13,10.0,11.0,10.0,,9.0,16.0,,29.0,14.0,21.0,,16
