Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,27T,24T,26T,79T,46T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,80T
2017_11_26,21.0,23.0,29.0,31.0,35.0,21.0,,30.0,26.0,,26.0,23.0,22.0,,11.0,21.0,19.0,21.0,12.0,,,21.0,,,8.0,5.0
2017_11_27,17.0,23.0,26.0,28.0,35.0,,,25.0,27.0,,26.0,21.0,27.0,,13.0,22.0,22.0,25.0,17.0,,,22.0,,,13.0,7.0
2017_11_28,23.0,24.0,34.0,33.0,42.0,,,31.0,38.0,,28.0,24.0,25.0,18.0,19.0,29.0,25.0,32.0,23.0,,,21.0,,,10.0,5.0
2017_11_29,22.0,25.0,24.0,27.0,41.0,29.0,,26.0,29.0,,23.0,22.0,23.0,20.0,19.0,30.0,20.0,27.0,15.0,,12.0,21.0,,,9.0,4.0
2017_11_30,,23.0,27.0,30.0,40.0,29.0,,25.0,27.0,,24.0,21.0,26.0,18.0,18.0,24.0,16.0,25.0,17.0,,11.0,21.0,,4.0,11.0,3.0
2017_12_01,,28.0,34.0,30.0,42.0,30.0,,32.0,28.0,,27.0,24.0,24.0,18.0,19.0,26.0,16.0,24.0,15.0,,,25.0,9.0,,13.0,8.0
2017_12_02,,24.0,31.0,31.0,42.0,27.0,,35.0,31.0,,24.0,,25.0,16.0,12.0,23.0,12.0,26.0,13.0,,13.0,20.0,10.0,,11.0,7.0
2017_12_03,,27.0,25.0,26.0,35.0,20.0,,30.0,20.0,,31.0,,25.0,20.0,12.0,,9.0,26.0,15.0,,,25.0,8.0,,10.0,5.0
2017_12_04,,19.0,22.0,27.0,35.0,18.0,,28.0,22.0,,29.0,25.0,24.0,18.0,11.0,,13.0,27.0,,,15.0,30.0,,6.0,14.0,6.0
2017_12_05,11.0,19.0,24.0,20.0,32.0,17.0,,26.0,22.0,,21.0,,23.0,19.0,10.0,,14.0,29.0,,,17.0,27.0,,,13.0,5.0
2017_12_06,20.0,28.0,31.0,33.0,47.0,22.0,,36.0,27.0,,32.0,,31.0,23.0,18.0,29.0,17.0,33.0,23.0,,,34.0,,,11.0,7.0
2017_12_07,23.0,36.0,34.0,35.0,53.0,24.0,,37.0,34.0,,44.0,,36.0,32.0,23.0,27.0,31.0,37.0,28.0,,,36.0,,7.0,15.0,8.0
2017_12_08,26.0,29.0,39.0,38.0,50.0,28.0,,46.0,36.0,,52.0,44.0,35.0,21.0,30.0,28.0,18.0,39.0,29.0,,22.0,37.0,12.0,8.0,17.0,10.0
2017_12_09,17.0,23.0,28.0,25.0,37.0,21.0,,31.0,30.0,,41.0,40.0,34.0,31.0,16.0,25.0,27.0,41.0,,,22.0,40.0,11.0,8.0,17.0,10.0
2017_12_10,39.0,38.0,54.0,50.0,60.0,40.0,,58.0,48.0,,53.0,47.0,43.0,36.0,28.0,44.0,44.0,36.0,,,21.0,35.0,15.0,15.0,21.0,13.0
2017_12_11,50.0,61.0,68.0,69.0,88.0,48.0,,81.0,58.0,,68.0,49.0,42.0,41.0,35.0,56.0,35.0,26.0,,,23.0,39.0,22.0,13.0,26.0,20.0
2017_12_12,25.0,34.0,42.0,38.0,44.0,29.0,,47.0,38.0,,66.0,40.0,38.0,33.0,31.0,44.0,52.0,30.0,14.0,,24.0,27.0,26.0,21.0,27.0,20.0
2017_12_13,16.0,26.0,33.0,32.0,33.0,24.0,,38.0,29.0,27.0,42.0,25.0,25.0,46.0,21.0,33.0,40.0,26.0,15.0,22.0,23.0,,19.0,18.0,28.0,19.0
2017_12_14,20.0,26.0,34.0,34.0,36.0,24.0,,44.0,27.0,28.0,48.0,21.0,26.0,42.0,18.0,29.0,37.0,22.0,13.0,20.0,,25.0,22.0,16.0,24.0,18.0
2017_12_15,28.0,40.0,46.0,42.0,44.0,31.0,,52.0,42.0,53.0,69.0,33.0,33.0,31.0,25.0,34.0,44.0,30.0,15.0,24.0,16.0,28.0,28.0,17.0,25.0,21.0
2017_12_16,25.0,28.0,38.0,38.0,42.0,27.0,,48.0,35.0,59.0,32.0,43.0,39.0,12.0,22.0,25.0,24.0,29.0,19.0,27.0,17.0,32.0,23.0,14.0,24.0,15.0
2017_12_17,9.0,18.0,17.0,15.0,20.0,12.0,,22.0,20.0,24.0,16.0,29.0,26.0,18.0,11.0,19.0,20.0,33.0,23.0,23.0,11.0,29.0,12.0,11.0,21.0,12.0
2017_12_18,29.0,29.0,39.0,33.0,38.0,24.0,,40.0,36.0,48.0,36.0,41.0,40.0,32.0,20.0,37.0,38.0,30.0,20.0,20.0,19.0,31.0,7.0,8.0,17.0,10.0
2017_12_19,38.0,30.0,54.0,42.0,48.0,35.0,,51.0,38.0,57.0,41.0,51.0,,50.0,22.0,40.0,38.0,35.0,22.0,28.0,30.0,41.0,14.0,9.0,23.0,13.0
2017_12_20,41.0,39.0,59.0,51.0,55.0,39.0,,54.0,42.0,72.0,43.0,66.0,49.0,43.0,22.0,42.0,43.0,38.0,25.0,37.0,34.0,39.0,21.0,14.0,30.0,18.0
2017_12_21,47.0,55.0,59.0,53.0,57.0,35.0,,58.0,55.0,70.0,47.0,64.0,49.0,46.0,21.0,41.0,37.0,39.0,27.0,35.0,40.0,49.0,20.0,13.0,27.0,20.0
2017_12_22,50.0,58.0,64.0,58.0,69.0,36.0,,61.0,66.0,74.0,50.0,53.0,56.0,42.0,34.0,63.0,55.0,39.0,26.0,40.0,30.0,52.0,19.0,7.0,22.0,22.0
2017_12_23,54.0,61.0,68.0,62.0,75.0,38.0,,70.0,77.0,96.0,64.0,58.0,57.0,34.0,52.0,78.0,55.0,40.0,34.0,41.0,,60.0,15.0,,14.0,21.0
2017_12_24,44.0,51.0,62.0,59.0,67.0,36.0,,65.0,62.0,78.0,44.0,44.0,44.0,25.0,37.0,63.0,31.0,34.0,24.0,34.0,18.0,40.0,10.0,11.0,17.0,10.0
2017_12_25,20.0,25.0,30.0,30.0,39.0,21.0,,37.0,35.0,46.0,29.0,47.0,35.0,35.0,14.0,30.0,37.0,29.0,20.0,24.0,30.0,45.0,12.0,12.0,23.0,13.0
2017_12_26,51.0,,62.0,60.0,70.0,35.0,,72.0,57.0,73.0,51.0,55.0,56.0,50.0,40.0,49.0,52.0,43.0,32.0,38.0,42.0,44.0,13.0,6.0,17.0,18.0
2017_12_27,38.0,,46.0,45.0,52.0,25.0,,56.0,48.0,45.0,32.0,23.0,15.0,29.0,32.0,,27.0,35.0,26.0,21.0,29.0,21.0,9.0,10.0,16.0,19.0
2017_12_28,18.0,21.0,26.0,29.0,37.0,18.0,,30.0,30.0,28.0,17.0,11.0,8.0,18.0,30.0,34.0,23.0,16.0,10.0,6.0,,9.0,8.0,7.0,17.0,10.0
2017_12_29,14.0,15.0,20.0,24.0,31.0,15.0,,24.0,23.0,24.0,19.0,12.0,15.0,17.0,24.0,29.0,25.0,19.0,15.0,11.0,11.0,10.0,9.0,11.0,15.0,9.0
2017_12_30,14.0,22.0,22.0,24.0,31.0,16.0,,26.0,24.0,29.0,16.0,14.0,20.0,11.0,21.0,20.0,25.0,20.0,17.0,12.0,12.0,14.0,9.0,12.0,17.0,8.0
2017_12_31,15.0,18.0,24.0,23.0,28.0,14.0,,26.0,24.0,34.0,12.0,16.0,19.0,11.0,15.0,,15.0,21.0,14.0,12.0,12.0,15.0,10.0,15.0,18.0,9.0
