Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,21T,24T,25T,26T,28T,29T,30T,31T,74T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,78T,57T,73T,58T,67T,75T,68T,69T,70T,71T,72T,76T,77T,79T,80T,81T,82T,83T,84T
2020-02-02,60.0,60,53.0,58.0,58.0,59.0,62.0,62.0,63.0,57.0,65.0,73.0,72,54,55,77.0,43.0,62.0,69.0,72.0,49.0,66.0,86.0,110.0,106.0,72.0,60.0,51.0,41.0,51.0,57.0,47.0,62.0,66,38.0,38.0,73,69.0,61.0,68.0,73,21.0,18.0,18.0,56,79.0,66.0,19.0,22.0,15.0,23.0,56.0,40.0,70.0,45.0,31.0,75,66,66.0,61.0,63.0,112.0,86,15.0,54.0,,,
2020-02-03,53.0,54,45.0,58.0,48.0,46.0,53.54545454545455,55.0,55.0,49.0,56.0,70.0,62,47,47,69.0,39.0,57.0,60.0,54.0,40.0,57.0,72.0,108.0,90.0,67.0,64.0,50.0,51.0,52.0,56.0,45.0,63.0,53,33.0,37.0,56,48.0,48.0,41.0,69,30.0,25.0,,63,82.0,63.0,18.0,23.0,16.0,23.0,43.0,37.0,59.0,43.0,26.0,74,59,72.0,69.0,57.0,98.0,81,22.0,44.0,,,
2020-02-04,44.0,42,33.0,43.0,40.0,44.0,46.0,49.0,45.0,41.0,42.0,56.0,50,37,39,54.0,31.0,45.0,45.0,50.0,34.0,43.0,54.0,74.0,58.0,52.0,51.0,36.0,35.0,39.0,44.0,39.0,54.0,41,41.0,40.0,48,47.0,46.0,34.0,54,27.0,28.0,25.0,74,81.0,48.0,19.0,25.0,19.0,30.0,45.0,42.0,53.0,36.0,29.0,60,50,61.0,81.0,54.0,69.0,65,19.0,38.0,,,
2020-02-05,32.0,29,25.0,32.0,27.0,31.0,31.0,39.0,34.0,29.0,32.0,43.0,35,24,31,42.0,24.0,35.0,35.0,36.0,23.0,33.0,45.0,55.0,48.0,39.0,34.0,21.0,22.0,22.0,27.0,25.0,39.0,28,36.0,37.0,71,59.0,59.0,57.0,47,15.0,11.0,17.0,55,72.0,35.0,16.0,18.0,14.0,40.0,51.0,40.0,65.0,51.0,31.0,62,71,51.0,65.0,56.0,53.0,50,9.0,26.0,,,
2020-02-06,26.0,24,20.0,22.0,21.0,22.0,28.0,35.0,27.0,23.0,22.0,35.0,29,19,21,36.0,22.0,27.0,24.0,31.0,18.0,29.0,32.0,58.0,35.0,36.0,31.0,21.0,23.0,23.0,27.0,22.0,38.0,22,41.0,43.0,57,49.0,48.0,44.0,42,17.0,11.0,16.0,59,55.0,31.0,17.0,19.0,10.0,35.0,43.0,40.0,72.0,51.0,30.0,60,47,46.0,60.0,56.0,45.0,44,12.0,24.0,,,
2020-02-07,30.0,29,27.0,31.0,25.0,30.0,33.0,38.0,32.0,28.0,35.0,42.0,32,22,26,38.0,23.0,36.0,37.0,38.0,20.0,30.0,41.0,56.0,42.0,37.0,30.0,19.0,21.0,20.0,23.0,17.0,33.0,22,38.0,44.0,52,49.0,49.0,39.0,33,19.0,17.0,21.0,80,60.0,31.0,20.0,24.0,15.0,40.0,54.0,45.0,65.0,40.0,33.0,54,46,48.0,70.0,55.0,48.0,49,17.0,25.0,,,
2020-02-08,36.0,35,29.0,36.0,35.0,35.0,35.0,38.0,36.36363636363637,35.0,40.0,46.0,37,29,31,47.0,27.0,41.0,41.0,42.0,25.0,39.0,53.0,93.0,67.0,51.0,34.0,28.0,26.0,31.0,32.0,27.0,41.0,34,48.0,47.0,54,59.0,58.0,50.0,56,27.0,25.0,22.0,46,75.0,39.0,18.0,21.0,19.0,46.0,60.0,51.0,60.0,42.0,40.0,60,55,59.0,50.0,56.0,64.0,68,19.0,34.0,,,
2020-02-09,44.0,42,32.0,40.0,39.0,39.0,40.0,40.0,45.0,43.0,43.0,47.0,48,42,38,64.0,35.0,45.0,45.0,43.0,43.0,40.0,51.0,67.0,57.0,57.0,48.0,48.0,42.0,46.0,55.0,37.0,45.0,47,61.0,63.0,65,56.0,55.0,53.0,44,24.0,13.0,17.0,25,35.0,43.0,16.0,17.0,13.0,56.0,66.0,62.0,47.0,38.0,43.0,56,56,40.0,30.0,57.0,62.0,71,8.0,45.0,,,
2020-02-10,45.0,42,42.0,41.0,41.0,43.0,44.0,47.0,44.0,42.0,44.0,45.0,46,42,37,60.0,35.0,45.0,48.0,55.0,54.0,39.0,34.0,41.0,35.0,54.0,46.0,38.0,45.0,37.0,42.0,33.0,44.0,45,52.0,54.0,45,37.0,31.0,33.0,32,27.0,18.0,17.0,22,31.0,37.0,15.0,14.0,7.0,47.0,54.0,63.0,36.0,23.0,35.0,35,35,31.0,19.0,48.0,40.0,54,12.0,44.0,,,
2020-02-11,49.0,48,45.0,48.0,48.0,46.0,48.0,53.0,52.0,49.0,49.0,57.0,54,54,48,66.0,39.0,50.0,53.0,69.0,54.0,50.0,60.0,63.0,61.0,61.0,46.0,47.0,49.0,49.0,54.0,46.0,55.0,54,45.0,45.0,40,34.0,37.0,33.0,51,16.0,11.0,14.0,41,43.0,44.0,15.0,16.0,4.0,44.0,52.0,66.0,45.0,37.0,31.0,41,40,34.0,37.0,49.0,55.0,76,10.0,58.0,,,
