Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,46T,47T,72T,82T,83T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,43T,44T,62T,63T,78T,80T
2020_04_20,13.0,11,13.0,13.0,11.0,15.0,16.0,47.0,15.0,12.0,13.0,25.0,17,11,10,23.0,15.0,15.0,10.0,14.0,9.0,19.0,14.0,22.0,29.0,19.0,18.0,20,9.0,31,25.0,34.0,60.0,106.0,19.0,12.0,20.0,11.0,15.0,9.0,20.0,12,14.0,15.0,28.0,62.0,58.0,51,47.0,47.0,44.0,19,52.0,51.0,65.0,60.0,62.0,41.0,37,61,56.0,14.0,9.0,13.0,22.0,26.5,8.0,10.0
2020_04_21,13.0,9,11.0,13.0,12.0,12.0,15.0,24.0,15.0,10.0,12.0,21.0,16,10,9,23.0,14.0,14.0,9.0,16.0,8.0,17.0,11.0,17.0,24.0,23.0,18.0,25,11.0,36,30.0,29.0,62.0,91.0,20.0,10.0,17.0,12.0,13.0,11.0,17.0,10,17.0,15.0,24.0,67.0,64.0,63,44.0,46.0,48.0,24,53.0,65.0,69.0,60.0,62.0,42.0,39,62,48.0,15.0,9.0,12.0,24.0,24.5,10.0,10.0
2020_04_22,19.0,14,16.0,17.0,14.0,15.0,20.0,20.0,20.0,15.0,18.0,27.0,19,13,15,28.0,16.0,19.0,15.0,24.0,14.0,19.0,23.0,25.0,33.0,27.0,27.0,42,18.0,38,28.0,30.0,28.0,57.0,19.0,11.0,20.0,10.0,15.0,12.0,18.0,14,19.0,15.0,23.0,58.0,58.0,55,49.0,49.0,50.0,33,53.0,72.0,57.0,63.0,71.0,42.0,50,52,35.0,14.0,7.0,11.0,21.0,22.5,9.0,9.0
2020_04_23,19.0,16,18.0,18.0,16.0,20.0,20.0,20.0,20.0,16.0,18.0,26.0,20,15,17,31.0,19.0,18.0,16.0,17.0,11.0,22.0,17.0,21.0,35.0,26.0,23.0,26,13.0,26,26.0,25.0,26.0,36.0,20.0,12.0,18.0,14.0,16.0,12.0,21.0,17,15.0,18.0,22.0,49.0,46.0,56,40.0,41.0,41.0,28,46.0,63.0,54.0,41.0,47.0,37.0,39,44,49.0,11.0,9.0,10.0,20.5,22.5,4.0,9.0
2020_04_24,20.0,19,20.0,18.0,18.0,18.0,23.0,24.0,23.0,16.0,20.0,31.0,19,14,15,33.0,21.0,21.0,20.0,26.0,12.0,28.0,15.0,21.0,29.0,25.0,15.0,19,10.0,24,29.0,21.0,13.0,24.0,17.0,14.0,17.0,13.0,16.0,14.0,19.0,15,20.0,15.0,19.0,45.0,39.0,33,26.0,30.0,30.0,20,34.0,39.0,53.0,27.0,21.0,28.0,27,33,37.0,10.0,8.0,17.0,19.5,20.5,6.0,7.0
2020_04_25,24.0,22,22.0,20.0,16.0,23.0,25.0,26.0,25.0,22.0,27.0,34.0,24,19,20,35.0,23.0,23.0,20.0,22.0,23.0,24.0,18.0,24.0,24.0,28.0,20.0,13,12.0,17,18.0,9.0,11.0,12.0,21.0,17.0,19.0,15.0,18.0,13.0,21.0,22,18.0,17.0,25.0,40.0,30.0,23,17.0,21.0,21.0,15,13.0,17.0,59.0,13.0,9.0,24.0,19,22,32.333333333333336,9.0,7.0,11.0,13.5,16.5,5.0,9.0
2020_04_26,32.0,29,27.0,27.0,24.0,25.0,33.0,32.0,31.0,30.0,33.0,39.0,34,27,27,46.0,25.0,29.0,22.0,30.0,31.0,27.0,25.0,23.0,33.0,29.0,31.0,20,23.0,22,20.0,14.0,18.0,13.0,32.0,24.0,24.0,26.0,29.0,23.0,21.0,25,27.0,19.0,30.0,22.0,15.0,15,13.0,13.0,15.0,17,13.0,12.0,37.0,12.0,9.0,16.0,12,14,20.0,11.0,8.0,9.0,17.0,18.5,6.0,7.0
2020_04_27,38.0,37,31.0,34.0,31.0,32.0,37.0,44.0,36.0,35.0,37.0,45.0,40,31,32,53.0,23.0,35.0,30.0,39.0,43.0,35.0,36.0,28.0,27.0,26.0,39.0,23,29.0,21,21.0,19.0,18.0,24.0,27.0,22.0,18.0,21.0,21.0,21.0,25.0,22,26.0,17.0,27.0,15.0,9.0,7,7.0,6.0,8.0,15,9.0,8.0,9.0,7.0,5.0,10.0,9,9,18.0,8.0,5.0,6.0,20.0,20.0,4.0,6.0
2020_04_28,31.0,29,26.0,28.0,23.0,28.0,31.0,37.0,33.0,28.0,30.0,40.0,33,27,26,46.0,24.0,29.0,21.0,31.0,35.0,24.0,26.0,22.0,28.0,19.0,31.0,23,21.0,28,24.0,18.0,28.0,37.0,25.0,23.0,24.0,28.0,29.0,20.0,22.0,20,17.0,18.0,22.0,14.0,8.0,11,8.0,8.0,13.0,18,9.0,10.0,9.0,10.0,10.0,9.0,12,13,13.0,5.0,4.0,6.0,19.0,16.0,3.0,5.0
2020_04_29,36.0,30,27.0,31.0,27.0,32.0,35.0,35.0,36.0,31.0,36.0,50.0,35,26,27,46.0,26.0,34.0,27.0,39.0,31.0,34.0,33.0,41.0,52.0,16.0,35.0,31,23.0,38,34.0,34.0,49.0,48.0,34.0,27.0,20.0,32.0,31.0,25.0,28.0,28,30.0,30.0,40.0,16.0,9.0,10,13.0,11.0,15.0,32,14.0,16.0,8.0,18.0,16.0,12.0,18,14,19.0,12.0,6.0,10.0,16.5,17.0,,7.0
2020_04_30,25.0,23,24.0,24.0,20.0,23.0,29.0,27.0,27.0,21.0,29.0,41.0,27,19,19,37.0,22.0,26.0,18.0,29.0,19.0,24.0,19.0,29.0,37.0,29.0,24.0,26,14.0,41,39.0,37.0,51.0,51.0,26.0,20.0,17.0,20.0,27.0,15.0,21.0,22,24.0,21.0,31.0,19.0,14.0,17,17.0,14.0,20.0,26,14.0,13.0,12.0,27.0,24.0,14.0,25,19,15.0,11.0,7.0,7.0,11.0,15.0,,8.0
2020_05_01,18.0,15,17.0,16.0,13.0,17.0,23.0,24.0,19.0,15.0,16.0,31.0,19,13,13,26.0,16.0,20.0,13.0,23.0,12.0,21.0,18.0,29.0,34.0,27.0,22.0,22,14.0,49,36.0,33.0,63.0,76.0,23.0,18.0,19.0,19.0,22.0,10.0,25.0,14,21.0,20.0,27.0,21.0,16.0,20,20.0,15.0,21.0,23,9.0,7.0,14.0,29.0,21.0,16.0,32,16,24.0,11.0,7.0,10.0,10.0,15.5,3.0,6.0
2020_05_02,16.0,11,14.0,14.0,12.0,12.0,19.0,23.0,17.0,14.0,14.0,26.0,16,10,11,24.0,14.0,17.0,11.0,20.0,14.0,21.0,16.0,22.0,29.0,26.0,19.0,19,12.0,42,30.0,23.0,28.0,80.0,18.0,11.0,15.0,11.0,13.0,9.0,16.0,10,16.0,16.0,21.0,18.0,11.0,16,16.0,11.0,17.0,21,9.0,8.0,11.0,22.0,9.0,10.0,18,10,25.0,12.0,7.0,14.0,13.0,17.0,5.0,8.0
2020_05_03,14.0,10,13.0,13.0,11.0,13.0,16.0,21.0,14.0,11.0,12.0,24.0,16,11,10,25.0,13.0,15.0,12.0,19.0,12.0,16.0,16.0,17.0,31.0,22.0,22.0,17,14.0,41,26.0,23.0,36.0,71.0,16.0,9.0,14.0,11.0,13.0,9.0,15.0,9,13.0,13.0,20.0,15.0,9.0,19,16.0,77.0,20.0,27,7.0,8.0,18.0,21.0,11.0,12.0,29,11,17.0,14.0,,16.0,14.0,15.5,7.0,8.0
2020_05_04,17.0,15,16.0,17.0,13.0,16.0,20.0,26.0,19.0,16.0,16.0,28.0,18,14,14,27.0,16.0,17.0,13.0,23.0,13.0,20.0,17.0,21.0,34.0,22.0,24.0,17,14.0,32,23.0,27.0,44.0,48.0,15.0,11.0,15.0,11.0,14.0,12.0,15.0,15,15.0,15.0,21.0,21.0,13.0,20,23.0,15.0,23.0,25,10.0,12.0,20.0,23.0,26.0,16.0,35,15,25.0,17.0,6.0,14.0,20.5,15.0,9.0,9.0
2020_05_05,20.0,17,17.0,19.0,18.0,16.0,21.0,30.0,23.0,19.0,19.0,29.0,23,18,16,32.0,16.0,23.0,15.0,31.0,19.0,21.0,22.0,17.0,41.0,31.0,22.0,15,17.0,36,32.0,23.0,58.0,54.0,17.0,13.0,17.0,14.0,17.0,14.0,19.0,16,19.0,15.0,25.0,23.0,17.0,27,27.0,24.0,28.0,30,18.0,21.0,24.0,30.0,23.0,19.0,36,30,26.0,19.0,8.0,23.0,12.5,13.5,9.0,8.0
