Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,99T,100T,46T,47T,72T,82T,83T,88T,90T,91T,101T,102T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,94T,95T,96T,97T,98T,42T,43T,44T,62T,63T,78T,80T,89T,93T
2022_08_26,13.0,13.0,10.0,9.0,19.0,8.0,13.0,20.0,17.0,11.0,9.0,22.0,18.0,8.0,9,18,18.0,10,9,18.0,9.0,18.0,8.0,11,17.0,12.0,14.0,6.8,7.0,8,6.0,4.0,15.0,14.0,6.0,8.0,6,6.0,6,9.0,5.0,8.0,5.0,13,14.0,13.0,8.0,11.0,8.0,8.0,8.0,7.0,10.0,4,16.0,10,10.0,5.0,6.0,9.0,13.0,7.0,14.0,11,17.0,8.0,8.0,7.0,8.0,7.0,8,10.0,8.0,7.0,7.0,9.0,12.0,10.0,9.0,18.0,12.0,14.0,10.0,9.0,14,9.0
2022_08_27,13.0,13.0,10.0,10.0,19.0,8.0,13.0,18.0,17.0,11.0,10.0,24.0,16.0,9.0,9,18,17.0,11,9,11.0,8.0,17.0,11.0,9,25.0,14.0,13.0,7.0,5.0,12,8.0,6.0,14.0,10.0,6.0,8.0,7,7.0,6,6.0,6.0,7.0,6.0,9,10.0,8.0,9.0,11.0,6.0,8.0,10.0,7.0,14.0,4,11.0,7,9.0,3.0,4.0,7.0,11.0,5.0,9.0,9,16.0,6.0,7.0,6.0,7.0,8.0,8,9.0,8.0,6.0,8.0,8.0,13.0,9.0,7.0,14.0,9.0,12.0,8.0,10.0,11,14.0
2022_08_28,14.0,12.0,9.0,11.0,17.0,6.0,13.0,18.0,17.0,11.0,13.0,24.0,14.0,8.0,6,16,13.0,11,10,12.0,10.0,18.0,11.0,15,30.0,16.0,15.0,6.0,5.0,20,12.0,8.0,18.0,16.0,7.0,12.0,13,9.0,10,11.0,7.0,11.0,9.0,13,10.0,11.0,7.0,11.0,11.0,8.0,13.0,10.0,19.0,6,11.0,7,12.0,6.0,6.0,9.0,13.0,9.0,11.0,10,17.0,8.0,7.0,11.0,12.0,7.0,10,12.0,9.0,7.0,10.0,8.0,15.0,8.0,9.0,11.0,10.0,11.0,7.0,9.0,14,9.0
2022_08_29,23.0,13.0,12.0,16.0,21.0,11.0,15.0,25.0,23.0,21.0,19.0,28.0,19.0,9.0,10,17,17.0,16,15,23.0,15.0,17.0,15.0,15,34.0,19.0,18.0,9.0,10.0,22,17.0,5.0,18.0,15.0,8.0,14.0,9,11.0,11,10.0,5.0,17.0,14.0,12,12.0,10.0,8.0,12.0,11.0,11.0,14.0,8.0,16.0,6,16.0,11,15.0,7.0,7.0,12.0,14.0,11.0,14.0,10,19.0,9.0,11.0,11.0,12.0,14.0,12,13.0,11.0,10.0,10.0,11.0,14.0,11.0,10.0,19.0,10.0,11.0,6.0,10.0,15,13.0
2022_08_30,27.0,21.0,23.0,21.0,26.0,16.0,19.0,30.0,28.0,25.0,26.0,34.0,21.0,18.0,14,25,24.0,21,20,19.0,20.0,20.0,18.0,16,40.0,23.0,20.0,11.0,11.0,10,11.0,5.0,18.0,12.0,8.0,16.0,11,12.0,10,9.0,6.0,15.0,16.0,19,18.0,19.0,18.0,18.0,18.0,19.0,13.0,9.0,12.0,7,17.0,13,16.0,5.0,5.0,11.0,11.0,12.0,16.0,10,19.0,9.0,12.0,9.0,10.0,10.0,14,10.0,12.0,15.0,11.0,11.0,14.0,10.0,8.0,19.0,10.0,15.0,8.0,10.0,15,14.0
2022_08_31,23.0,19.0,20.0,17.0,24.0,11.0,16.0,28.0,24.0,20.0,18.0,27.0,22.0,13.0,15,20,21.0,22,23,29.0,11.0,26.0,15.0,18,44.0,22.0,20.0,15.0,7.0,18,17.0,10.0,17.0,16.0,7.0,15.0,6,8.0,8,9.0,6.0,12.0,16.0,21,21.0,20.0,12.0,17.0,18.0,16.0,16.0,6.0,14.0,6,17.0,13,12.0,5.0,6.0,10.0,19.0,12.0,14.0,10,20.0,8.0,11.0,14.0,12.0,12.0,18,18.0,14.0,16.0,19.0,12.0,24.0,13.0,9.0,16.0,11.0,12.0,7.0,11.0,12,11.0
2022_09_01,28.0,22.0,22.0,22.0,29.0,18.0,18.0,34.0,31.0,25.0,22.0,38.0,25.0,20.0,18,25,21.0,21,17,24.0,20.0,22.0,14.0,17,37.0,19.0,16.0,9.0,12.0,17,13.0,7.0,16.0,19.0,6.0,13.0,12,10.0,8,7.0,8.0,13.0,13.0,18,15.0,17.0,14.0,16.0,13.0,13.0,16.0,8.0,16.0,7,17.0,11,12.0,6.0,6.0,10.0,20.0,7.0,11.0,10,22.0,10.0,11.0,9.0,7.0,10.0,26,13.0,9.0,15.0,14.0,11.0,17.0,8.0,8.0,17.0,11.0,13.0,9.0,9.0,11,12.0
2022_09_02,30.0,26.0,30.0,26.0,31.0,19.0,21.0,31.0,31.0,26.0,31.0,43.0,24.0,18.0,19,27,25.0,25,25,23.0,20.0,25.0,19.0,25,47.0,34.0,16.0,10.0,10.0,19,23.0,9.0,18.0,19.0,8.0,13.0,11,16.0,12,11.0,10.0,16.0,17.0,16,12.0,11.0,9.0,19.0,17.0,17.0,21.0,12.0,26.0,8,17.0,14,13.0,8.333333333333334,7.0,11.0,15.0,11.0,13.0,10,21.0,11.0,13.0,9.0,11.0,11.0,21,12.0,13.0,18.0,14.0,12.0,15.0,8.0,8.0,13.0,10.0,11.0,8.0,9.0,13,10.0
2022_09_03,17.0,14.0,16.0,15.0,17.0,14.0,14.0,25.0,19.0,14.0,15.0,32.0,17.0,10.0,9,18,19.0,18,16,20.0,13.0,22.0,10.0,24,40.0,23.0,18.0,11.0,9.0,21,18.0,10.0,17.0,20.0,6.0,8.0,8,14.0,15,7.0,10.0,17.0,14.0,17,11.0,18.0,9.0,16.0,13.0,13.0,21.0,9.0,17.0,4,18.0,15,12.0,8.0,8.0,12.0,19.0,14.0,18.0,12,22.0,11.0,11.0,16.0,12.0,10.0,19,21.0,12.0,16.0,17.0,14.0,21.0,7.0,10.0,12.0,10.0,11.0,7.0,10.0,14,8.0
2022_09_04,12.0,12.0,9.0,10.0,11.0,8.0,12.0,16.0,14.0,10.0,10.0,22.0,14.0,7.0,7,15,14.0,10,11,14.0,9.0,14.0,11.0,11,27.0,17.0,18.0,10.0,9.0,12,12.0,9.0,18.0,18.0,7.0,12.0,9,14.0,11,7.0,8.0,11.0,8.0,13,9.0,8.0,10.0,9.0,9.0,8.0,11.0,6.0,15.0,4,15.0,9,13.0,6.0,6.0,11.0,14.0,12.0,11.0,10,23.0,11.0,11.0,13.0,12.0,13.0,14,14.0,8.0,10.0,12.0,14.0,14.0,6.0,11.0,12.0,12.0,11.0,7.0,10.0,10,9.0
