Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,99T,100T,46T,47T,72T,82T,83T,88T,90T,91T,101T,102T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,94T,95T,96T,97T,98T,42T,43T,44T,62T,63T,78T,80T,89T,93T
2022_10_16,26.0,26.0,23.0,21.0,19.0,18.0,20.0,27.0,32.0,24.0,26.0,28.0,26.0,20.0,18,30,26.0,26,22,20.0,21.0,21.0,17.0,18,34.0,23.0,24.0,8.0,18.0,16,19.0,16.0,17.0,29.0,11.0,37.0,29,46.0,30,23.0,29.0,32.0,15.0,18,20.0,20.0,14.0,13.0,13.0,11.5,21.0,23.0,20.0,15,24.0,23,24.0,13.0,14.0,18.0,12.0,8.75,26.0,14,31.0,23.0,24.0,19.0,21.0,17.0,24,20.0,14.0,12.0,19.0,19.0,14.0,12.0,6.0,9.0,10.0,10.0,8.0,6.0,15,7.0
2022_10_17,35.0,35.0,32.0,30.0,33.0,25.0,23.0,35.0,41.0,32.0,36.0,40.0,36.0,33.0,26,40,36.0,33,33,31.0,33.0,30.0,27.0,25,40.0,25.0,36.0,14.0,28.0,25,24.0,20.0,15.75,38.0,10.666666666666666,54.0,38,41.0,36,30.0,39.0,35.0,18.0,34,41.0,30.0,24.0,10.6,13.0,9.75,30.0,28.0,30.0,15,32.0,29,24.0,17.0,18.0,21.0,22.0,9.25,30.0,19,35.0,25.0,27.0,21.0,25.0,20.0,32,22.0,19.0,21.0,22.0,24.0,24.0,8.0,8.0,12.0,10.0,13.0,9.0,6.0,14,7.0
2022_10_18,43.0,41.0,38.0,37.0,36.0,29.0,28.0,43.0,47.0,39.0,45.0,46.0,40.0,40.0,32,44,40.0,42,43,47.0,48.0,37.0,40.0,33,46.0,32.0,45.0,19.0,42.0,35,36.0,26.0,15.2,44.0,10.666666666666666,49.0,47,48.0,42,34.0,43.0,40.0,19.0,38,40.0,35.0,28.0,32.0,15.75,9.5,34.0,35.0,12.4,23,32.0,31,31.0,21.0,21.0,23.0,32.0,12.0,28.0,21,38.0,25.0,28.0,26.0,29.0,24.0,39,27.0,21.0,26.0,28.0,27.0,36.0,5.0,8.0,11.0,12.0,12.0,8.0,6.0,11,7.0
2022_10_19,44.0,44.0,41.0,42.0,41.0,32.0,21.0,45.0,49.0,40.0,44.0,47.0,45.0,37.0,38,46,43.0,45,47,48.0,49.0,43.0,47.0,38,47.0,35.0,53.0,20.0,48.0,43,41.0,31.0,18.0,48.0,11.0,47.0,35,53.0,45,36.0,44.0,39.0,28.0,48,45.0,40.0,37.0,38.0,20.0,16.5,36.0,39.0,15.0,33,16.6,25,29.0,21.0,20.0,25.0,38.0,12.0,26.0,21,41.0,23.0,29.0,26.0,26.0,28.0,41,31.0,29.0,32.0,31.0,33.0,43.0,6.0,7.0,12.0,10.0,12.0,9.0,6.0,8,8.0
2022_10_20,42.0,38.0,34.0,39.0,39.0,32.0,19.6,43.0,45.0,37.0,40.0,43.0,38.0,35.0,32,43,36.0,41,39,48.0,43.0,40.0,46.0,35,47.0,30.0,62.0,21.0,48.0,40,34.0,20.0,20.4,36.0,10.5,30.0,22,27.0,26,31.0,23.0,21.0,21.0,37,33.0,35.0,28.0,29.0,18.75,18.0,27.0,24.0,33.0,20,17.4,25,28.0,19.0,18.0,21.0,37.0,11.75,25.0,18,35.0,20.0,27.0,25.0,22.0,31.0,38,29.0,32.0,34.0,32.0,31.0,37.0,6.0,9.0,14.0,12.0,13.0,7.0,7.0,11,9.0
2022_10_21,30.0,27.0,24.0,26.0,26.0,19.0,22.0,31.0,38.0,25.0,24.0,36.0,30.0,23.0,20,34,28.0,27,27,31.0,32.0,28.0,25.0,23,33.0,26.0,47.0,14.0,31.0,26,23.0,14.0,20.5,26.0,9.75,13.0,10,15.0,10,10.0,12.0,13.0,17.0,32,32.0,30.0,24.0,23.0,17.25,15.5,19.0,18.0,23.0,14,26.0,26,26.0,15.0,15.0,19.0,22.0,10.75,20.0,15,31.0,13.0,30.0,12.75,17.0,22.0,22,23.0,29.0,22.0,22.0,17.0,23.0,5.0,9.0,13.0,12.0,12.0,8.0,11.0,13,11.0
2022_10_22,33.0,29.0,24.0,29.0,28.0,22.0,21.0,38.0,35.0,31.0,26.0,40.0,29.0,26.0,23,36,29.0,27,26,40.0,33.0,25.0,25.0,16,28.0,21.0,26.0,9.0,20.0,16,14.0,10.0,21.25,21.0,11.666666666666666,13.0,13,25.0,15,9.0,12.0,20.0,14.0,21,18.0,22.0,14.0,27.0,17.5,14.25,20.0,13.0,18.0,5,16.0,17,16.0,12.0,12.0,13.0,16.0,9.5,13.0,10,22.0,7.0,18.0,10.25,12.0,12.0,18,17.0,15.0,18.0,15.0,13.0,18.0,7.0,9.0,10.0,8.0,11.0,8.0,9.0,11,9.0
2022_10_23,24.0,24.0,22.0,19.0,20.0,17.0,21.0,28.0,28.0,23.0,25.0,30.0,22.0,13.0,18,28,24.0,23,21,30.0,26.0,22.75,20.0,19,29.0,21.0,29.0,9.0,21.0,19,22.0,15.0,23.0,31.0,11.5,44.0,28,40.0,32,30.0,26.0,29.0,15.0,27,29.0,22.0,20.0,21.0,18.25,16.5,23.0,23.0,25.0,11,15.0,10,15.0,7.0,7.0,12.0,14.0,9.25,19.0,8,23.0,15.0,10.0,13.5,10.0,14.0,20,17.0,13.0,16.0,15.0,17.0,19.0,8.0,9.0,10.0,9.0,13.2,9.0,9.0,9,7.0
2022_10_24,43.0,42.0,37.0,37.0,39.0,33.0,31.0,45.0,44.0,41.0,37.0,49.0,39.0,27.0,31,43,37.0,36,36,47.0,36.0,21.75,29.0,30,39.0,25.0,30.0,12.0,29.0,27,27.0,24.0,24.8,33.0,13.0,48.0,31,44.0,35,40.0,29.0,30.0,14.0,29,36.0,36.0,24.0,26.0,19.0,17.75,39.0,33.0,33.0,19,22.0,20,26.0,15.0,16.0,13.75,26.0,12.0,27.0,14,34.0,24.0,23.0,14.25,21.0,21.0,35,27.0,22.0,32.0,32.0,28.0,30.0,6.0,8.0,13.0,10.0,12.0,9.0,8.0,10,9.0
2022_10_25,47.0,41.0,35.0,34.0,37.0,31.0,32.0,51.0,46.0,43.0,41.0,51.0,44.0,32.0,34,48,35.0,41,41,45.0,42.0,33.0,40.0,31,44.0,27.0,34.0,14.0,32.0,36,30.0,26.0,27.6,38.0,14.5,36.0,24,27.0,32,11.0,27.0,23.0,17.0,44,38.0,39.0,30.0,28.0,23.25,20.75,30.0,28.0,29.0,23,32.0,34,32.0,20.0,22.0,15.2,34.0,15.0,33.0,20,42.0,26.0,33.0,15.25,27.0,25.0,39,31.0,31.0,34.0,34.0,30.0,35.0,9.0,8.0,14.0,14.0,13.0,10.0,10.0,13,10.0
2022_10_26,32.0,30.0,27.0,28.0,27.0,21.0,23.0,35.0,33.0,26.0,28.0,38.0,33.0,28.0,24,38,25.0,27,27,36.0,32.0,19.0,29.0,19,30.0,24.0,31.0,14.0,25.0,22,15.0,17.0,26.6,18.0,13.5,16.0,9,7.0,5,10.0,8.0,9.0,15.0,27,32.0,31.0,25.0,20.0,28.0,21.25,21.0,12.0,16.0,17,30.0,28,31.0,16.0,17.0,17.8,28.0,15.0,35.0,18,33.0,26.0,34.0,16.75,28.0,26.0,28,29.0,26.0,26.0,28.0,21.0,27.0,10.0,9.0,13.0,12.0,12.0,9.0,6.0,16,8.0
2022_10_27,18.0,16.0,12.0,13.0,16.0,8.0,15.0,21.0,17.0,14.0,14.0,23.0,18.0,16.0,12,21,17.0,13,15,28.0,21.0,11.0,16.0,13,26.0,16.0,20.0,9.0,14.0,15,16.0,5.0,25.4,21.0,12.0,11.0,11,9.0,6,10.0,12.0,10.0,9.0,14,15.0,14.0,11.0,11.0,25.75,19.25,10.0,6.0,8.0,5,21.0,23,17.0,11.0,11.0,14.2,10.0,10.0,23.0,15,25.0,11.0,26.0,12.25,19.0,18.0,14,21.0,15.0,13.0,15.0,11.0,15.0,18.0,11.0,18.0,16.0,15.0,12.0,11.0,20,9.0
2022_10_28,19.0,16.0,15.0,15.0,18.0,11.0,16.0,22.0,19.0,15.0,16.0,24.0,20.0,20.0,12,23,21.0,17,18,25.0,22.0,12.0,20.0,11,25.0,17.0,27.0,9.0,19.0,14,12.0,5.0,28.0,17.0,13.0,14.0,13,15.0,11,11.0,12.0,14.0,12.0,18,17.0,15.0,10.0,13.0,21.75,19.75,12.0,8.0,13.0,4,16.0,14,14.0,8.25,7.0,14.2,11.0,5.0,18.0,10,21.0,7.0,17.0,13.25,14.0,11.0,16,15.0,7.0,14.0,10.0,13.0,14.0,11.0,14.0,17.0,14.0,14.8,11.0,12.0,17,9.0
2022_10_29,21.0,20.0,15.0,16.0,18.0,12.0,16.0,22.0,21.0,16.0,16.0,24.0,21.0,20.0,15,24,23.0,19,19,28.0,24.0,16.0,20.0,15,27.0,18.0,29.0,8.0,22.0,17,16.0,10.0,24.4,25.0,26.0,27.0,20,34.0,26,25.0,24.0,26.0,9.0,16,15.0,15.0,14.0,16.0,17.25,17.0,14.0,17.0,19.0,9,19.0,16,14.0,8.0,8.0,12.0,16.0,6.0,17.0,11,23.0,15.0,15.0,13.25,14.0,14.0,24,21.0,15.0,17.0,20.0,19.0,19.0,8.0,13.0,9.0,10.0,14.2,9.0,8.0,14,7.0
2022_10_30,30.0,30.0,29.0,31.0,27.0,23.0,23.0,33.0,32.0,27.0,28.0,35.0,30.6,23.0,25,33,30.0,30,28,31.0,29.0,25.0,33.0,26,36.0,29.0,35.0,15.0,29.0,29,29.0,19.0,26.2,39.0,37.0,39.0,36,49.0,44,35.0,36.0,,16.0,32,32.0,29.0,22.0,24.2,18.25,20.5,25.0,28.0,32.0,16,21.0,17,18.0,13.0,13.0,17.0,26.0,8.0,23.0,11,29.0,21.0,21.0,25.0,20.0,21.0,32,26.0,24.0,30.0,25.0,30.0,28.0,13.0,14.0,10.0,13.0,13.0,9.0,11.0,14,8.0
2022_10_31,39.0,38.0,34.0,38.0,34.0,28.0,29.0,43.0,40.0,35.0,38.0,39.0,29.0,29.0,34,43,35.0,38,36,40.0,38.0,34.0,40.0,36,45.0,32.0,44.0,17.0,37.0,39,36.0,26.0,27.6,41.0,35.0,36.0,29,33.0,33,30.0,36.0,,13.0,36,35.0,19.25,29.0,22.8,18.75,19.0,32.0,35.0,38.0,22,25.0,24,22.0,15.0,16.0,20.0,35.0,10.25,25.0,16,36.0,20.0,26.0,27.0,23.0,26.0,34,31.0,27.0,34.0,30.0,32.0,38.0,23.0,14.0,14.0,14.0,15.0,10.0,12.0,16,8.0
2022_11_01,35.0,33.0,29.0,35.0,31.0,25.0,28.0,37.0,36.0,30.0,30.0,38.0,28.8,29.0,25,38,32.0,33,32,38.0,37.0,30.0,39.0,32,44.0,26.0,44.0,18.0,35.0,34,31.0,18.0,27.2,28.0,6.0,28.0,23,26.0,21,15.0,22.0,12.0,8.0,28,32.0,22.666666666666668,24.0,26.0,15.75,18.25,31.0,22.0,32.0,18,26.0,22,20.0,15.0,15.0,19.0,32.0,11.75,27.0,17,33.0,15.0,26.0,22.0,23.0,27.0,32,27.0,29.0,33.0,27.0,26.0,30.0,18.0,21.0,19.0,11.0,13.0,10.0,15.0,21,8.0
2022_11_02,30.0,29.0,24.0,26.0,24.0,18.0,22.0,39.0,33.0,25.0,25.0,33.0,33.6,18.333333333333332,22,36,28.0,27,27,36.0,34.0,28.0,35.0,29,47.0,26.0,38.0,16.0,32.0,28,29.0,15.0,26.0,31.0,16.0,31.0,25,26.0,23,24.0,22.0,13.0,15.0,28,32.0,24.0,26.0,20.0,18.25,21.5,23.0,26.0,29.0,14,27.0,26,22.0,14.0,14.0,18.0,29.0,12.25,29.0,20,30.0,12.0,26.0,21.0,25.0,25.0,30,23.0,22.0,31.0,26.0,22.0,28.0,19.0,23.0,19.0,12.0,14.0,10.0,22.0,17,10.0
2022_11_03,31.0,30.0,26.0,28.0,23.0,19.0,22.0,40.0,33.0,27.0,22.0,33.0,37.0,19.0,25,35,30.0,28,28,38.0,38.0,44.0,34.0,26,46.0,28.0,41.0,18.0,32.0,34,33.0,18.0,31.2,30.0,24.0,29.0,28,28.0,27,19.0,19.0,18.0,22.0,28,33.0,25.0,26.0,21.0,23.0,21.5,24.0,31.0,32.0,12,26.0,24,18.0,12.0,12.0,18.0,20.25,15.25,28.0,13,31.0,12.0,25.0,22.0,14.0,28.0,31,24.0,23.0,29.0,29.0,23.0,29.0,17.0,17.0,16.0,13.0,12.0,9.0,20.0,18,11.0
2022_11_04,26.0,27.0,24.0,24.0,21.0,16.0,21.0,30.0,30.0,22.0,23.0,30.0,40.8,23.0,21,31,28.0,25,25,34.0,30.0,29.0,34.0,30,45.0,28.0,39.0,17.0,34.0,31,27.0,17.0,32.2,35.0,30.0,41.0,32,36.0,33,28.0,28.0,17.0,21.0,23,39.0,25.0,26.0,18.0,21.0,24.5,22.0,26.0,29.0,17,23.0,24,19.0,11.0,12.0,17.0,21.5,14.75,25.0,15,33.0,15.0,25.0,25.0,15.5,25.0,29,26.0,24.0,28.0,30.0,24.0,31.0,19.0,17.0,12.0,12.0,11.5,9.0,12.0,16,8.0
2022_11_05,35.0,33.0,31.0,32.0,29.0,22.0,25.0,41.0,35.0,30.0,31.0,42.0,38.2,29.333333333333332,28,35,30.0,33,32,40.0,41.0,33.0,39.0,28,44.0,29.0,43.0,17.0,39.0,29,30.0,20.0,31.8,37.0,37.0,33.0,32,36.0,34,30.0,34.0,28.0,24.0,32,34.0,26.0,31.0,23.0,20.0,27.5,27.0,26.0,30.0,18,26.0,25,23.0,14.0,15.0,19.0,24.0,13.5,25.0,17,33.0,19.0,25.0,28.0,16.0,28.0,31,31.0,24.0,30.0,34.0,30.0,30.0,8.0,15.0,12.0,12.0,12.0,9.0,7.0,16,8.0
2022_11_06,33.0,34.0,31.0,35.0,28.0,25.0,28.0,35.0,41.0,31.0,33.0,41.0,40.4,28.666666666666668,27,36,29.0,35,35,35.0,34.0,35.0,41.0,31,43.0,31.0,51.0,15.0,38.0,34,32.0,17.0,32.2,34.0,34.0,32.0,19,35.0,28,24.0,24.0,18.0,23.0,30,25.0,30.0,24.0,21.0,20.0,26.0,20.0,25.0,28.0,15,27.0,24,25.0,15.0,15.0,20.0,28.0,14.0,28.0,17,31.0,20.0,29.0,30.0,16.5,25.0,37,30.0,27.0,31.0,32.0,30.0,34.0,5.0,12.0,12.0,12.0,12.0,9.0,10.0,13,9.0
2022_11_07,37.0,36.0,34.0,36.0,31.0,26.0,30.0,40.0,46.0,36.0,37.0,43.0,34.6,25.666666666666668,27,40,31.0,39,39,40.0,39.0,36.0,40.0,34,45.0,29.0,46.0,17.0,41.0,34,29.0,18.0,32.4,37.0,32.0,39.0,21,36.0,32,33.0,25.0,20.0,23.0,29,33.0,32.0,26.0,23.0,23.0,22.75,24.0,24.0,30.0,16,27.0,25,24.0,15.0,15.0,20.0,26.0,12.75,33.0,18,34.0,17.0,30.0,29.0,15.25,28.0,32,28.0,27.0,34.0,31.0,27.0,31.0,7.0,9.0,15.0,12.0,13.0,9.0,8.0,13,10.0
2022_11_08,40.0,40.0,37.0,41.0,34.0,29.0,34.0,44.0,49.0,36.0,40.0,47.0,33.8,28.333333333333332,36,42,36.0,39,40,44.0,43.0,38.0,38.0,31,43.0,32.0,44.0,17.0,39.0,33,29.0,18.0,30.2,36.0,34.0,42.0,17,28.0,24,34.0,24.0,17.0,22.0,30,40.0,31.0,29.0,24.0,23.0,25.25,31.0,32.0,31.0,17,29.0,28,26.0,12.0,13.0,19.0,32.0,14.75,31.0,16,37.0,17.0,30.0,28.0,18.25,32.0,38,27.0,25.0,33.0,30.0,28.0,33.0,7.0,9.0,15.0,16.0,15.0,9.0,13.0,9,9.0
2022_11_09,38.0,41.0,36.0,31.0,33.0,24.0,31.0,45.0,46.0,35.0,36.0,44.0,30.2,26.666666666666668,31,37,31.0,34,35,39.0,41.0,30.0,39.0,29,44.0,26.0,38.0,16.0,38.0,30,27.0,16.0,28.0,32.0,33.0,37.0,14,21.0,21,19.0,21.0,11.0,20.0,23,33.0,30.0,25.0,23.0,21.0,22.75,24.0,24.0,26.0,15,28.0,32,27.0,16.0,16.0,21.0,34.0,18.25,26.0,16,34.0,17.0,33.0,27.0,21.5,36.0,35,30.0,25.0,31.0,30.0,28.0,33.0,20.0,15.0,15.0,16.0,15.0,10.0,17.0,17,9.0
2022_11_10,34.0,30.0,28.0,32.0,28.0,23.0,27.0,35.0,44.0,32.0,31.0,38.0,31.8,30.333333333333332,30,38,32.0,32,30,37.0,37.0,26.0,31.0,25,38.0,22.0,36.0,16.0,33.0,30,24.0,18.0,28.2,25.0,33.0,49.0,11,16.0,16,25.0,14.0,10.0,20.0,23,32.0,26.0,25.0,18.0,16.0,23.75,21.0,20.0,23.0,14,28.0,24,21.75,13.0,15.0,20.0,30.0,20.25,29.0,16,33.0,21.0,30.0,28.0,25.0,28.0,32,27.0,24.0,31.0,32.0,25.0,33.0,22.0,21.0,15.0,12.0,14.0,10.0,16.0,20,12.0
2022_11_11,33.0,29.0,25.0,26.0,27.0,22.0,24.0,33.0,39.0,29.0,29.0,34.0,33.2,39.0,24,35,30.0,29,27,34.0,34.0,24.0,32.0,24,43.0,26.0,35.0,14.0,30.0,29,22.0,13.0,29.2,26.0,26.0,36.0,9,14.0,9,21.0,14.0,5.0,22.0,29,34.0,26.0,26.0,29.0,22.0,23.75,23.0,19.0,23.0,11,26.0,26,21.0,11.25,16.0,19.0,25.0,15.5,28.0,19,32.0,20.0,30.0,27.0,23.0,29.0,32,24.0,23.0,30.0,26.0,20.0,28.0,14.0,18.0,12.0,8.0,10.0,9.0,10.0,9,9.0
2022_11_12,31.0,28.0,25.0,25.0,27.0,20.0,22.0,32.0,32.0,27.0,32.4,38.0,36.4,32.5,24,35,32.0,28,28,37.0,37.0,23.0,29.0,24,40.0,23.0,31.0,13.0,25.0,26,24.0,12.0,29.0,22.0,23.0,29.0,10,14.0,11,29.0,10.0,4.0,21.0,27,30.0,24.0,23.0,23.0,17.0,25.75,18.0,19.0,19.0,8,28.0,26,24.0,14.0,14.0,20.0,23.0,14.75,27.0,16,31.0,16.0,28.0,27.0,23.0,27.0,35,26.0,18.0,29.0,25.0,18.0,27.0,13.0,16.0,9.0,11.0,13.0,10.0,7.0,11,10.0
2022_11_13,28.0,24.0,22.0,23.0,22.0,17.0,20.0,29.0,28.0,26.0,34.0,35.0,37.2,29.666666666666668,19,28,25.0,26,25,32.0,33.0,20.0,24.0,19,31.0,19.0,31.0,13.0,24.0,27,18.0,12.0,31.2,20.0,16.0,18.0,9,13.0,9,20.0,8.0,14.0,17.0,24,22.0,21.0,19.0,30.75,13.0,26.25,13.0,11.0,16.0,9,25.0,21,25.0,13.0,14.0,19.0,22.0,16.0,24.0,15,32.0,16.0,25.0,27.0,21.0,21.0,32,23.0,18.0,27.0,24.0,16.0,27.0,14.0,17.0,9.0,11.0,11.0,9.0,8.0,11,9.0
2022_11_14,17.0,16.0,13.0,15.0,15.0,10.0,15.0,18.0,18.0,14.0,35.2,31.0,38.2,29.0,11,22,19.0,15,15,21.0,19.0,11.0,14.0,13,26.0,15.0,30.0,25.4,14.0,13,11.0,8.0,28.6,15.0,19.0,20.0,7,9.0,8,21.0,6.0,13.0,9.0,14,15.0,13.0,10.0,29.75,14.0,25.0,12.0,9.0,13.0,7,23.0,19,20.0,11.0,11.0,16.0,19.0,16.25,24.0,14,33.0,17.0,25.0,27.0,23.0,25.0,24,23.0,17.0,30.0,24.0,12.0,20.0,7.0,10.0,9.0,12.0,11.0,9.0,9.0,7,9.0
2022_11_15,18.0,17.0,14.0,13.0,16.0,11.0,16.0,21.0,20.0,15.0,33.4,28.0,41.2,33.666666666666664,12,24,22.0,16,17,25.0,24.0,11.0,17.0,10,26.0,12.0,23.0,7.0,13.0,9,10.0,11.0,25.8,16.0,16.0,16.0,9,11.0,10,23.0,7.0,13.0,13.0,20,19.0,21.0,17.0,31.75,15.0,27.0,15.0,13.0,13.0,8,21.0,16,12.0,7.0,7.0,12.0,12.0,17.25,25.0,15,24.0,13.0,20.0,17.0,20.0,17.0,21,18.0,10.0,20.0,19.0,12.0,11.0,7.0,10.0,10.0,10.0,12.0,9.0,5.0,9,8.0
2022_11_16,24.0,23.0,17.0,17.0,19.0,14.0,18.0,32.0,27.0,21.0,23.4,32.0,29.0,24.333333333333332,18,31,28.0,15,17,28.0,29.0,19.0,15.0,16,38.0,20.0,23.0,8.0,15.0,16,15.0,13.0,24.8,14.0,14.0,19.0,11,12.0,10,12.0,6.0,15.0,16.0,31,23.0,22.0,20.0,25.75,20.0,19.75,27.0,14.0,19.0,9,17.0,9,10.0,5.0,5.0,10.0,13.0,17.0,21.0,10,18.0,9.0,14.0,10.0,10.0,15.0,17,15.0,14.0,15.0,18.0,14.0,18.0,8.0,9.0,12.0,11.0,12.0,10.0,8.0,10,11.0
2022_11_17,27.0,28.0,23.0,22.0,20.0,18.0,20.0,32.0,30.0,25.0,25.6,37.0,31.0,25.333333333333332,24,32,27.0,20,20,30.0,27.0,21.0,17.0,19,34.0,18.0,25.0,9.0,14.0,17,18.0,16.0,26.2,22.0,15.0,22.0,13,11.0,9,13.0,10.0,15.0,16.0,23,19.0,21.0,19.0,25.25,16.0,19.25,26.0,17.0,25.0,9,23.6,13,13.0,8.0,8.0,11.0,12.0,15.5,16.0,8,20.0,8.0,16.0,13.0,13.0,19.0,17,17.0,15.0,16.0,18.0,14.0,18.0,8.0,9.0,13.0,10.0,12.0,10.0,8.0,7,11.0
2022_11_18,22.0,22.0,25.75,18.0,18.0,13.0,19.0,27.0,24.0,20.0,29.2,30.0,35.0,24.0,16,28,26.0,17,17,19.0,13.0,16.0,18.0,18,37.0,20.0,25.0,11.0,15.0,20,25.0,13.0,26.2,19.0,14.0,24.0,14,11.0,10,14.0,7.0,15.0,15.0,21,21.0,20.0,16.0,26.0,13.0,18.75,14.0,15.0,23.0,9,16.0,10,12.0,7.0,7.0,11.0,10.0,17.75,14.0,8,20.0,10.6,12.0,13.0,11.0,16.0,10,14.0,10.0,10.0,15.0,16.0,18.0,10.0,9.0,12.0,9.0,11.0,8.0,12.0,9,12.0
2022_11_19,27.0,26.0,26.25,22.0,22.0,19.0,20.0,32.0,29.0,25.0,30.8,36.0,34.75,28.333333333333332,22,34,27.0,21,21,29.0,34.0,16.0,23.0,19,38.0,20.0,30.0,9.0,21.0,18,17.0,15.0,23.4,20.0,15.0,16.0,10,14.0,10,15.0,9.0,17.0,15.0,23,25.0,19.0,17.0,27.25,20.0,22.25,20.0,15.0,22.0,12,16.0,13,11.0,7.0,7.0,11.0,12.0,19.75,12.0,8,21.0,12.0,15.0,13.0,13.0,17.0,15,12.0,10.0,14.0,16.0,14.0,14.0,13.0,9.0,9.0,11.0,13.0,9.0,7.0,10,9.0
2022_11_20,30.666666666666668,18.0,21.25,17.0,15.0,13.0,17.0,23.0,22.0,19.0,25.6,28.0,32.6,22.0,16,26,22.0,18,19,23.0,23.0,13.0,18.0,16,32.0,16.0,22.0,8.0,16.0,15,15.0,9.0,26.4,19.0,15.0,11.0,9,13.0,12,11.0,9.0,15.0,15.0,17,20.0,19.0,16.0,16.0,14.0,20.25,15.0,11.0,17.0,9,18.0,15,12.0,7.0,8.0,11.0,14.0,19.5,13.0,7,18.0,8.0,14.0,16.0,13.0,18.0,15,13.0,15.0,14.0,20.0,14.0,18.0,11.75,8.666666666666666,14.0,11.0,11.0,8.0,11.0,12,10.0
2022_11_21,20.0,20.0,24.0,16.0,15.0,13.0,16.0,23.0,21.0,18.0,28.2,27.0,31.8,21.333333333333332,13,24,24.6,17,17,22.0,24.0,17.0,18.0,19,37.0,20.0,23.0,9.0,17.0,23,20.0,7.0,30.0,23.0,16.0,14.0,11,20.0,12,11.0,9.0,20.0,11.0,18,19.0,15.0,15.0,26.0,13.0,23.5,15.0,12.0,20.0,6,18.0,14,13.0,8.0,8.0,12.0,14.0,14.0,16.0,9,16.0,8.0,25.5,12.0,13.0,20.0,26,18.0,12.0,20.0,21.0,17.0,20.0,10.75,10.666666666666666,18.0,14.0,13.0,9.0,13.0,16,10.0
2022_11_22,31.0,32.0,23.75,27.0,27.0,22.0,24.0,35.0,33.0,29.0,26.8,40.0,32.6,22.333333333333332,22,34,26.4,27,27,33.0,35.0,26.0,29.0,29,43.0,22.0,26.8,12.0,22.0,26,27.0,13.0,23.2,28.0,21.0,18.0,9,19.0,14,15.0,11.0,16.0,20.0,25,26.0,24.0,17.0,23.75,19.0,23.75,26.0,14.0,23.0,12,18.0,14,17.0,9.0,9.0,13.0,23.0,16.75,15.0,10,22.0,9.0,26.75,15.0,14.0,20.0,28,17.0,15.0,24.0,23.0,17.0,22.0,11.0,11.0,12.0,15.0,13.0,10.0,8.0,12,9.0
2022_11_23,34.0,28.0,20.0,26.0,24.0,19.0,23.0,41.0,32.0,30.0,25.0,39.0,27.6,25.0,23,35,22.4,25,26,45.0,39.0,23.0,29.0,22,35.0,17.0,25.6,9.0,25.0,29,23.0,11.0,19.4,14.0,18.0,16.0,9,12.0,8,8.0,7.0,13.0,14.0,21,24.0,20.0,19.0,16.75,15.0,19.0,18.0,10.0,20.0,9,14.0,13,17.0,9.0,9.0,13.0,23.0,19.0,15.0,10,24.0,14.0,30.0,20.0,15.0,18.0,31,21.0,15.0,29.0,29.0,16.0,26.0,12.0,10.666666666666666,13.0,12.0,9.0,8.0,9.0,12,10.0
2022_11_24,23.0,22.0,19.333333333333332,18.0,18.0,15.0,18.0,28.0,24.0,21.0,20.0,38.0,25.4,20.0,15,28,21.6,17,17,23.0,20.0,13.0,18.0,12,28.0,11.0,26.8,8.0,19.0,15,13.0,6.0,26.5,12.0,8.0,10.0,10,9.0,9,9.0,8.0,14.0,9.0,14,10.0,12.0,16.0,17.0,9.0,18.25,10.0,8.0,11.0,5,20.0,18,15.0,10.0,10.0,14.0,20.0,18.5,19.0,10,24.0,10.0,26.25,18.0,18.0,16.0,13,18.0,14.0,14.0,20.0,10.0,21.0,8.0,9.0,16.0,11.0,12.0,10.0,9.0,12,10.0
2022_11_25,16.0,15.0,11.0,11.0,13.0,10.0,14.0,20.0,17.0,13.0,12.0,27.0,30.0,10.0,10,19,24.4,10,12,15.0,14.0,11.0,11.0,10,31.0,13.0,18.0,6.0,7.0,9,14.0,5.0,25.25,14.0,7.0,18.0,15,11.0,12,6.0,11.0,17.0,6.0,12,13.0,10.0,20.666666666666668,18.75,8.0,21.0,9.0,10.0,12.0,5,20.0,17,14.0,10.0,11.0,14.0,9.0,17.0,20.0,10,20.0,7.0,27.0,14.0,18.0,9.0,11,17.0,8.0,9.0,12.0,9.0,9.0,8.0,11.333333333333334,17.0,12.5,14.0,10.0,12.0,12,10.0
2022_11_26,16.0,15.0,12.0,13.0,13.0,10.0,13.0,22.0,18.0,14.0,13.0,29.0,29.2,17.0,10,20,17.0,12,12,19.0,15.0,12.0,10.0,13,27.0,14.0,18.0,7.0,7.0,10,13.0,8.0,28.75,18.0,9.0,13.0,8,10.0,7,6.0,8.0,13.0,8.0,14,13.0,10.0,11.0,20.75,8.0,19.0,11.0,12.0,16.0,4,20.0,15,10.0,7.0,8.0,11.0,9.0,19.0,17.0,6,20.0,8.0,28.75,12.0,12.0,9.0,13,14.0,7.0,9.0,9.0,12.0,12.0,9.0,10.333333333333334,17.0,11.75,14.0,9.0,17.0,10,11.0
